CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1720639663826,1720639664770,1720639665325,0,CanvasB,CanvasB,True
1720639665827,1720639667319,1720639667792,0,CanvasE,CanvasE,True
1720639668303,1720639669912,1720639670455,0,CanvasB,CanvasB,True
1720639670964,1720639672600,1720639673107,0,CanvasB,CanvasB,True
1720639673607,1720639674934,1720639675349,0,CanvasB,CanvasB,True
1720639675861,1720639677543,1720639678195,0,CanvasE,CanvasE,True
1720639678705,1720639679574,1720639680202,0,CanvasB,CanvasB,True
1720639680706,1720639681526,1720639682239,0,CanvasE,CanvasE,True
1720639682750,1720639683881,1720639684331,0,CanvasE,CanvasE,True
1720639684843,1720639686360,1720639686903,0,CanvasE,CanvasE,True
1720639687411,1720639688196,1720639688775,0,CanvasB,CanvasB,True
1720639689278,1720639690558,1720639691456,0,CanvasE,CanvasE,True
1720639691965,1720639693319,1720639693829,0,CanvasB,CanvasB,True
1720639694333,1720639695861,1720639699372,0,CanvasE,CanvasE,True
1720639699873,1720639701148,1720639701655,0,CanvasE,CanvasE,True
1720639702163,1720639703312,1720639703917,0,CanvasE,CanvasE,True
1720639704422,1720639705658,1720639706119,0,CanvasE,CanvasE,True
1720639706621,1720639707815,1720639708180,0,CanvasB,CanvasB,True
1720639708689,1720639710112,1720639710726,0,CanvasB,CanvasB,True
1720639711226,1720639712812,1720639713357,0,CanvasE,CanvasE,True
1720639713857,1720639714912,1720639715387,0,CanvasB,CanvasB,True
1720639715899,1720639717345,1720639717853,0,CanvasE,CanvasE,True
1720639718357,1720639719202,1720639719630,0,CanvasB,CanvasB,True
1720639720142,1720639721745,1720639722456,0,CanvasE,CanvasE,True
1720639722967,1720639724213,1720639724758,0,CanvasB,CanvasB,True
1720639725267,1720639726689,1720639727329,0,CanvasE,CanvasE,True
1720639727830,1720639728839,1720639729418,0,CanvasE,CanvasE,True
1720639729921,1720639730940,1720639731459,0,CanvasE,CanvasE,True
1720639731964,1720639732692,1720639733246,0,CanvasE,CanvasE,True
1720639733756,1720639735319,1720639735779,0,CanvasB,CanvasB,True
1720639736284,1720639737255,1720639737799,0,CanvasB,CanvasB,True
1720639738302,1720639739583,1720639740126,0,CanvasB,CanvasB,True
1720639740628,1720639742295,1720639742744,0,CanvasB,CanvasB,True
1720639743246,1720639744352,1720639744824,0,CanvasE,CanvasE,True
1720639745324,1720639746028,1720639746570,0,CanvasE,CanvasE,True
1720639747073,1720639747866,1720639748291,0,CanvasE,CanvasE,True
1720639748802,1720639750001,1720639750321,0,CanvasB,CanvasB,True
1720639750825,1720639751798,1720639752164,0,CanvasB,CanvasB,True
1720639752668,1720639753666,1720639754211,0,CanvasE,CanvasE,True
1720639754714,1720639755533,1720639756147,0,CanvasB,CanvasB,True
1720639756660,1720639758141,1720639759143,0,CanvasE,CanvasE,True
1720639759645,1720639760440,1720639761243,0,CanvasE,CanvasE,True
1720639761755,1720639763464,1720639764154,0,CanvasB,CanvasB,True
1720639764660,1720639765636,1720639766242,0,CanvasB,CanvasB,True
1720639766743,1720639768292,1720639768790,0,CanvasB,CanvasB,True
1720639769290,1720639770940,1720639771400,0,CanvasB,CanvasB,True
1720639771902,1720639772913,1720639773364,0,CanvasB,CanvasB,True
1720639773870,1720639774717,1720639775225,0,CanvasB,CanvasB,True
1720639775727,1720639776819,1720639777302,0,CanvasB,CanvasB,True
1720639777813,1720639778830,1720639779444,0,CanvasE,CanvasE,True
1720639779952,1720639780663,1720639781278,0,CanvasE,CanvasE,True
1720639781790,1720639783448,1720639783993,0,CanvasE,CanvasE,True
1720639784500,1720639785389,1720639785872,0,CanvasE,CanvasE,True
1720639786385,1720639787607,1720639788185,0,CanvasB,CanvasB,True
1720639788690,1720639790345,1720639790971,0,CanvasE,CanvasE,True
1720639791483,1720639793012,1720639793686,0,CanvasE,CanvasE,True
1720639794190,1720639795626,1720639796230,0,CanvasB,CanvasB,True
1720639796742,1720639797620,1720639798187,0,CanvasB,CanvasB,True
1720639798689,1720639800054,1720639800611,0,CanvasB,CanvasB,True
1720639801112,1720639802189,1720639802769,0,CanvasB,CanvasB,True
1720639803276,1720639804353,1720639805476,0,CanvasB,CanvasB,True
1720639805980,1720639807177,1720639807602,0,CanvasB,CanvasB,True
1720639808114,1720639809468,1720639810095,0,CanvasB,CanvasB,True
1720639810598,1720639811948,1720639812648,0,CanvasE,CanvasE,True
1720639813159,1720639814534,1720639815870,0,CanvasE,CanvasE,True
1720639816382,1720639817710,1720639818279,0,CanvasB,CanvasB,True
1720639818787,1720639820078,1720639820835,0,CanvasE,CanvasE,True
1720639821346,1720639822581,1720639823068,0,CanvasB,CanvasB,True
1720639823580,1720639824968,1720639825547,0,CanvasB,CanvasB,True
1720639826050,1720639827060,1720639827604,0,CanvasE,CanvasE,True
1720639828116,1720639828914,1720639829364,0,CanvasB,CanvasB,True
1720639829866,1720639830933,1720639831429,0,CanvasE,CanvasE,True
1720639831939,1720639832998,1720639833401,0,CanvasE,CanvasE,True
1720639833905,1720639834962,1720639835543,0,CanvasB,CanvasB,True
1720639836055,1720639837143,1720639837781,0,CanvasB,CanvasB,True
1720639838293,1720639839360,1720639839774,0,CanvasB,CanvasB,True
1720639840278,1720639841948,1720639842563,0,CanvasE,CanvasE,True
1720639843073,1720639844566,1720639844969,0,CanvasE,CanvasE,True
1720639845472,1720639846221,1720639846717,0,CanvasE,CanvasE,True
1720639847221,1720639848652,1720639849067,0,CanvasE,CanvasE,True
1720639849571,1720639851133,1720639851582,0,CanvasE,CanvasE,True
1720639852089,1720639853102,1720639853951,0,CanvasB,CanvasB,True
1720639854465,1720639855323,1720639855679,0,CanvasB,CanvasB,True
1720639856190,1720639857294,1720639857661,0,CanvasB,CanvasB,True
1720639858162,1720639859057,1720639859553,0,CanvasB,CanvasB,True
1720639860061,1720639860849,1720639861250,0,CanvasE,CanvasE,True
1720639861751,1720639862819,1720639863302,0,CanvasB,CanvasB,True
1720639863806,1720639864547,1720639865148,0,CanvasE,CanvasE,True
1720639865650,1720639866906,1720639867416,0,CanvasE,CanvasE,True
1720639867926,1720639868744,1720639869239,0,CanvasE,CanvasE,True
1720639869751,1720639870806,1720639871279,0,CanvasE,CanvasE,True
1720639871788,1720639873029,1720639873396,0,CanvasB,CanvasB,True
1720639873902,1720639875485,1720639876006,0,CanvasB,CanvasB,True
1720639876508,1720639877847,1720639878202,0,CanvasB,CanvasB,True
1720639878713,1720639879782,1720639880207,0,CanvasE,CanvasE,True
1720639880719,1720639882115,1720639882611,0,CanvasB,CanvasB,True
1720639883117,1720639884574,1720639884976,0,CanvasB,CanvasB,True
1720639885476,1720639886756,1720639887133,0,CanvasB,CanvasB,True
1720639887636,1720639888429,1720639888949,0,CanvasE,CanvasE,True
1720639889456,1720639890556,1720639891053,0,CanvasB,CanvasB,True
