CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738009277973,1738009278818,1738009279485,-30,CanvasP,CanvasP,True
1738009279995,1738009281163,1738009281707,-10,CanvasP,CanvasP,True
1738009282218,1738009283651,1738009284208,-20,CanvasE,CanvasE,True
1738009284718,1738009285563,1738009287507,30,CanvasE,CanvasE,True
1738009288018,1738009289407,1738009290185,10,CanvasE,CanvasE,True
1738009290695,1738009292273,1738009293241,0,CanvasP,CanvasP,True
1738009293751,1738009295185,1738009295785,-20,CanvasB,CanvasB,True
1738009296296,1738009297729,1738009298474,20,CanvasE,CanvasE,True
1738009298985,1738009300652,1738009301430,-20,CanvasE,CanvasE,True
1738009301940,1738009302840,1738009303685,-20,CanvasB,CanvasB,True
1738009304196,1738009305707,1738009306907,30,CanvasP,CanvasP,True
1738009307417,1738009308651,1738009309285,0,CanvasP,CanvasP,True
1738009309795,1738009310807,1738009311496,20,CanvasE,CanvasE,True
1738009312007,1738009313485,1738009314163,20,CanvasE,CanvasE,True
1738009314673,1738009316096,1738009316752,-20,CanvasE,CanvasE,True
1738009317262,1738009318330,1738009319852,30,CanvasB,CanvasP,False
1738009320362,1738009321440,1738009322130,20,CanvasB,CanvasB,True
1738009322640,1738009323429,1738009324163,-30,CanvasB,CanvasB,True
1738009324673,1738009325963,1738009326619,20,CanvasB,CanvasB,True
1738009327130,1738009328385,1738009329096,20,CanvasP,CanvasP,True
1738009329607,1738009331041,1738009332374,30,CanvasP,CanvasP,True
1738009332884,1738009333840,1738009335508,30,CanvasP,CanvasP,True
1738009336018,1738009337040,1738009337808,20,CanvasE,CanvasE,True
1738009338318,1738009339896,1738009340963,10,CanvasP,CanvasP,True
1738009341473,1738009342452,1738009345218,30,CanvasB,CanvasP,False
1738009345729,1738009346529,1738009347274,-30,CanvasB,CanvasB,True
1738009347785,1738009349263,1738009349907,0,CanvasE,CanvasB,False
1738009350417,1738009351329,1738009352373,-10,CanvasB,CanvasB,True
1738009352884,1738009353874,1738009354897,-20,CanvasB,CanvasB,True
1738009355407,1738009356273,1738009357008,-20,CanvasP,CanvasP,True
1738009357518,1738009358363,1738009359008,-30,CanvasP,CanvasP,True
1738009359518,1738009360507,1738009361064,-20,CanvasP,CanvasP,True
1738009361573,1738009362429,1738009363141,0,CanvasE,CanvasB,False
1738009363651,1738009364640,1738009367774,30,CanvasE,CanvasE,True
1738009368285,1738009369629,1738009370418,0,CanvasE,CanvasE,True
1738009370929,1738009372640,1738009375130,30,CanvasE,CanvasE,True
1738009375641,1738009377307,1738009378363,-20,CanvasB,CanvasB,True
1738009378873,1738009380185,1738009382741,30,CanvasB,CanvasE,False
1738009383252,1738009384296,1738009385163,-20,CanvasP,CanvasP,True
1738009385673,1738009386741,1738009388530,30,CanvasP,CanvasP,True
1738009389039,1738009390185,1738009391274,-30,CanvasB,CanvasB,True
1738009391785,1738009393296,1738009394086,10,CanvasE,CanvasE,True
1738009394595,1738009396040,1738009396796,-20,CanvasP,CanvasP,True
1738009397307,1738009398485,1738009399241,-30,CanvasP,CanvasP,True
1738009399751,1738009400630,1738009401474,-30,CanvasB,CanvasB,True
1738009401985,1738009403096,1738009406140,30,CanvasB,CanvasE,False
1738009406651,1738009407652,1738009409730,30,CanvasE,CanvasP,False
1738009410240,1738009411218,1738009412086,10,CanvasP,CanvasP,True
1738009412595,1738009413818,1738009414774,10,CanvasB,CanvasB,True
1738009415285,1738009416896,1738009418396,30,CanvasP,CanvasE,False
