CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1718907461612,1718907462933,1718907463843,+30,face3,face1,False
1718907464351,1718907465625,1718907469764,0,face3,face3,True
1718907470271,1718907471419,1718907472275,+30,face2,face1,False
1718907472786,1718907474465,1718907476076,+30,face2,face3,False
1718907476586,1718907478024,1718907479000,0,face1,face2,False
1718907479510,1718907480518,1718907481440,0,face2,face2,True
1718907481952,1718907483594,1718907484285,0,face2,face2,True
1718907484796,1718907486466,1718907487310,+30,face1,face1,True
1718907487822,1718907488968,1718907490047,+30,face3,face2,False
1718907490557,1718907492076,1718907492833,-30,face2,face2,True
1718907493334,1718907494353,1718907495071,0,face3,face1,False
1718907495582,1718907496755,1718907498022,+30,face3,face3,True
1718907498532,1718907499975,1718907500642,0,face1,face2,False
1718907501152,1718907502578,1718907503873,+30,face2,face2,True
1718907504385,1718907505301,1718907506493,-30,face3,face3,True
1718907507004,1718907508163,1718907509369,0,face3,face3,True
1718907509878,1718907511156,1718907512262,+30,face1,face1,True
1718907512773,1718907513604,1718907514144,0,face3,face2,False
1718907514654,1718907516003,1718907516515,-30,face3,face1,False
1718907517025,1718907517915,1718907518705,+30,face2,face2,True
