CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738197720647,1738197721547,1738197722126,30,CanvasP,CanvasP,True
1738197722637,1738197723481,1738197724081,-20,CanvasB,CanvasB,True
1738197724591,1738197725335,1738197725937,-30,CanvasB,CanvasB,True
1738197726447,1738197727592,1738197728059,-10,CanvasB,CanvasB,True
1738197728569,1738197730070,1738197730686,-30,CanvasP,CanvasP,True
1738197731191,1738197732725,1738197733303,0,CanvasB,CanvasB,True
1738197733814,1738197734747,1738197735282,-30,CanvasB,CanvasB,True
1738197735792,1738197737168,1738197737713,20,CanvasE,CanvasP,False
1738197738225,1738197739925,1738197740637,20,CanvasB,CanvasB,True
1738197741148,1738197742325,1738197742882,20,CanvasB,CanvasB,True
1738197743391,1738197744580,1738197745115,0,CanvasP,CanvasP,True
1738197745623,1738197747180,1738197747769,10,CanvasP,CanvasP,True
1738197748280,1738197749147,1738197749715,30,CanvasB,CanvasB,True
1738197750226,1738197751661,1738197752283,30,CanvasP,CanvasP,True
1738197752793,1738197754160,1738197754738,-20,CanvasP,CanvasP,True
1738197755247,1738197756203,1738197756715,-30,CanvasP,CanvasP,True
1738197757225,1738197758148,1738197758681,-10,CanvasP,CanvasP,True
1738197759192,1738197760638,1738197761127,-10,CanvasP,CanvasP,True
1738197761638,1738197762937,1738197763549,0,CanvasE,CanvasE,True
1738197764060,1738197765638,1738197766261,30,CanvasB,CanvasB,True
1738197766771,1738197767548,1738197768026,0,CanvasB,CanvasB,True
1738197768537,1738197770025,1738197770849,-10,CanvasB,CanvasB,True
1738197771360,1738197773060,1738197773659,-30,CanvasP,CanvasP,True
1738197774170,1738197775548,1738197776171,-30,CanvasB,CanvasB,True
1738197776682,1738197777960,1738197778449,-10,CanvasB,CanvasB,True
1738197778960,1738197780092,1738197780905,30,CanvasB,CanvasB,True
1738197781415,1738197782838,1738197783326,-30,CanvasB,CanvasB,True
1738197783828,1738197785116,1738197785751,-20,CanvasP,CanvasP,True
1738197786260,1738197787894,1738197788440,10,CanvasB,CanvasB,True
1738197788949,1738197790283,1738197790984,-20,CanvasE,CanvasE,True
1738197791493,1738197792504,1738197792949,10,CanvasP,CanvasP,True
1738197793459,1738197794605,1738197795204,10,CanvasE,CanvasE,True
1738197795716,1738197796739,1738197797317,-10,CanvasE,CanvasE,True
1738197797826,1738197798604,1738197799338,-30,CanvasP,CanvasP,True
1738197799849,1738197800927,1738197801505,10,CanvasB,CanvasB,True
1738197802015,1738197803205,1738197803773,30,CanvasP,CanvasP,True
1738197804281,1738197805683,1738197806314,10,CanvasB,CanvasB,True
1738197806825,1738197808459,1738197808960,10,CanvasB,CanvasB,True
1738197809472,1738197810904,1738197811416,10,CanvasB,CanvasB,True
1738197811926,1738197812672,1738197813306,30,CanvasE,CanvasE,True
1738197813816,1738197815072,1738197815817,-30,CanvasE,CanvasE,True
1738197816327,1738197817561,1738197818116,20,CanvasP,CanvasP,True
1738197818626,1738197819493,1738197819972,20,CanvasB,CanvasB,True
1738197820482,1738197821450,1738197822173,10,CanvasP,CanvasP,True
1738197822683,1738197823852,1738197824483,0,CanvasE,CanvasE,True
1738197824994,1738197825871,1738197826437,-10,CanvasB,CanvasB,True
1738197826947,1738197828215,1738197828638,10,CanvasP,CanvasP,True
1738197829148,1738197830471,1738197830940,30,CanvasB,CanvasB,True
1738197831449,1738197832640,1738197833285,-30,CanvasE,CanvasE,True
1738197833794,1738197835440,1738197836107,20,CanvasE,CanvasE,True
