CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738297279585,1738297280915,1738297281550,-10,CanvasE,CanvasE,True
1738297282056,1738297283764,1738297284707,0,CanvasE,CanvasE,True
1738297285223,1738297286730,1738297287462,10,CanvasE,CanvasE,True
1738297287967,1738297288905,1738297289567,30,CanvasP,CanvasP,True
1738297290079,1738297291349,1738297292091,20,CanvasB,CanvasB,True
1738297292602,1738297293805,1738297294426,-30,CanvasB,CanvasB,True
1738297294930,1738297296572,1738297297250,20,CanvasE,CanvasE,True
1738297297762,1738297298617,1738297299251,-20,CanvasE,CanvasE,True
1738297299771,1738297300642,1738297301196,30,CanvasB,CanvasP,False
1738297301706,1738297302423,1738297303149,-10,CanvasP,CanvasP,True
1738297303669,1738297305074,1738297305970,-30,CanvasB,CanvasB,True
1738297306481,1738297307919,1738297308682,20,CanvasE,CanvasE,True
1738297309192,1738297310057,1738297310814,20,CanvasE,CanvasE,True
1738297311330,1738297312704,1738297313528,0,CanvasP,CanvasP,True
1738297314030,1738297315431,1738297315914,-20,CanvasB,CanvasB,True
1738297316419,1738297317207,1738297318021,0,CanvasE,CanvasE,True
1738297318532,1738297319412,1738297320144,30,CanvasE,CanvasE,True
1738297320650,1738297322179,1738297322901,20,CanvasB,CanvasB,True
1738297323405,1738297325064,1738297325890,-30,CanvasP,CanvasP,True
1738297326393,1738297328038,1738297328818,30,CanvasB,CanvasB,True
1738297329336,1738297330447,1738297331083,-20,CanvasB,CanvasB,True
1738297331585,1738297332867,1738297333499,-20,CanvasB,CanvasB,True
1738297334006,1738297334932,1738297336015,30,CanvasP,CanvasP,True
1738297336523,1738297337723,1738297338445,-20,CanvasB,CanvasB,True
1738297338954,1738297339756,1738297340463,20,CanvasE,CanvasE,True
1738297340973,1738297342161,1738297342905,10,CanvasE,CanvasE,True
1738297343409,1738297344335,1738297345127,30,CanvasB,CanvasB,True
1738297345640,1738297346996,1738297347769,0,CanvasE,CanvasE,True
1738297348276,1738297349870,1738297350704,-20,CanvasB,CanvasB,True
1738297351218,1738297352398,1738297353210,-30,CanvasB,CanvasB,True
1738297353717,1738297354960,1738297355734,-20,CanvasP,CanvasP,True
1738297356238,1738297357336,1738297358543,10,CanvasE,CanvasE,True
1738297359061,1738297359830,1738297360906,10,CanvasP,CanvasP,True
1738297361416,1738297362333,1738297362944,0,CanvasB,CanvasB,True
1738297363453,1738297364718,1738297366404,-30,CanvasP,CanvasP,True
1738297366917,1738297367873,1738297368662,-10,CanvasE,CanvasE,True
1738297369173,1738297370657,1738297371316,-20,CanvasP,CanvasP,True
1738297371819,1738297372756,1738297373599,30,CanvasE,CanvasE,True
1738297374106,1738297375175,1738297375995,-10,CanvasP,CanvasP,True
1738297376507,1738297377244,1738297377934,-20,CanvasP,CanvasP,True
1738297378446,1738297379714,1738297380627,-10,CanvasB,CanvasB,True
1738297381137,1738297382696,1738297383477,-20,CanvasE,CanvasE,True
1738297383982,1738297384800,1738297385473,-30,CanvasE,CanvasE,True
1738297385985,1738297386847,1738297387590,-10,CanvasE,CanvasE,True
1738297388093,1738297389735,1738297390629,30,CanvasB,CanvasB,True
1738297391134,1738297392290,1738297393083,0,CanvasE,CanvasE,True
1738297393586,1738297394776,1738297395526,0,CanvasE,CanvasE,True
1738297396028,1738297397405,1738297398262,-10,CanvasE,CanvasE,True
1738297398767,1738297400263,1738297401004,-10,CanvasE,CanvasE,True
1738297401507,1738297402664,1738297403484,20,CanvasB,CanvasB,True
