CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1739395819699,1739395820882,1739395821525,-20,CanvasP,CanvasP,True
1739395822038,1739395823733,1739395824281,-30,CanvasP,CanvasP,True
1739395824787,1739395826111,1739395826704,-30,CanvasE,CanvasE,True
1739395827213,1739395828371,1739395828906,-20,CanvasP,CanvasP,True
1739395829414,1739395830847,1739395831411,-30,CanvasP,CanvasP,True
1739395831919,1739395833235,1739395833883,30,CanvasE,CanvasE,True
1739395834390,1739395835860,1739395836369,-30,CanvasB,CanvasB,True
1739395836879,1739395838228,1739395838821,-10,CanvasP,CanvasP,True
1739395839323,1739395840648,1739395841121,30,CanvasE,CanvasE,True
1739395841626,1739395842672,1739395843139,-10,CanvasB,CanvasB,True
1739395843641,1739395844442,1739395844929,0,CanvasB,CanvasB,True
1739395845444,1739395846387,1739395846803,30,CanvasP,CanvasP,True
1739395847308,1739395848620,1739395849082,20,CanvasE,CanvasE,True
1739395849590,1739395851175,1739395851712,-10,CanvasE,CanvasE,True
1739395852225,1739395853264,1739395853775,-30,CanvasE,CanvasE,True
1739395854280,1739395855165,1739395855742,10,CanvasB,CanvasB,True
1739395856257,1739395857365,1739395857773,10,CanvasP,CanvasP,True
1739395858275,1739395859181,1739395859657,20,CanvasP,CanvasP,True
1739395860166,1739395861059,1739395861635,0,CanvasE,CanvasE,True
1739395862147,1739395863592,1739395864187,-20,CanvasB,CanvasB,True
1739395864696,1739395865867,1739395866452,20,CanvasE,CanvasE,True
1739395866962,1739395867884,1739395868528,10,CanvasP,CanvasP,True
1739395869032,1739395870490,1739395871086,20,CanvasB,CanvasB,True
1739395871593,1739395872444,1739395873047,30,CanvasE,CanvasE,True
1739395873554,1739395874784,1739395875224,0,CanvasE,CanvasE,True
1739395875726,1739395876945,1739395877617,-30,CanvasP,CanvasP,True
1739395878125,1739395879365,1739395879888,20,CanvasE,CanvasE,True
1739395880397,1739395882030,1739395882574,30,CanvasB,CanvasB,True
1739395883077,1739395884444,1739395885023,-30,CanvasP,CanvasP,True
1739395885532,1739395887037,1739395887509,-30,CanvasE,CanvasE,True
1739395888020,1739395889460,1739395889866,0,CanvasB,CanvasB,True
1739395890370,1739395891969,1739395892569,-30,CanvasE,CanvasE,True
1739395893078,1739395894271,1739395894792,20,CanvasB,CanvasB,True
1739395895303,1739395896167,1739395896678,0,CanvasP,CanvasP,True
1739395897193,1739395898516,1739395899098,20,CanvasP,CanvasP,True
1739395899605,1739395900915,1739395901427,10,CanvasE,CanvasE,True
1739395901930,1739395903030,1739395903556,-10,CanvasE,CanvasE,True
1739395904057,1739395904909,1739395905409,-10,CanvasB,CanvasB,True
1739395905922,1739395907273,1739395907940,10,CanvasP,CanvasP,True
1739395908451,1739395910262,1739395910842,30,CanvasB,CanvasB,True
1739395911353,1739395912178,1739395912664,30,CanvasB,CanvasB,True
1739395913170,1739395914391,1739395914914,-30,CanvasB,CanvasB,True
1739395915421,1739395916128,1739395916637,20,CanvasE,CanvasE,True
1739395917147,1739395918043,1739395918564,-10,CanvasB,CanvasB,True
1739395919079,1739395920308,1739395920724,0,CanvasE,CanvasB,False
1739395921236,1739395922761,1739395923332,20,CanvasE,CanvasE,True
1739395923841,1739395924973,1739395925578,20,CanvasP,CanvasP,True
1739395926087,1739395926862,1739395927290,0,CanvasE,CanvasE,True
1739395927804,1739395928568,1739395929100,20,CanvasB,CanvasB,True
1739395929610,1739395930681,1739395931348,-10,CanvasP,CanvasP,True
