CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738699901293,1738699902492,1738699903426,-20,CanvasP,CanvasP,True
1738699903937,1738699904970,1738699905582,20,CanvasP,CanvasP,True
1738699906093,1738699907370,1738699908037,-20,CanvasE,CanvasE,True
1738699908549,1738699909427,1738699910015,10,CanvasE,CanvasE,True
1738699910527,1738699911784,1738699912326,10,CanvasE,CanvasE,True
1738699912836,1738699913594,1738699914261,30,CanvasP,CanvasP,True
1738699914770,1738699916037,1738699916626,-20,CanvasP,CanvasP,True
1738699917128,1738699918425,1738699919016,-30,CanvasB,CanvasB,True
1738699919525,1738699921048,1738699921661,10,CanvasE,CanvasE,True
1738699922170,1738699923517,1738699924161,-20,CanvasP,CanvasP,True
1738699924670,1738699925893,1738699926416,30,CanvasB,CanvasE,False
1738699926927,1738699928170,1738699928871,30,CanvasP,CanvasP,True
1738699929382,1738699930215,1738699931127,10,CanvasE,CanvasE,True
1738699931637,1738699933293,1738699934096,20,CanvasB,CanvasB,True
1738699934603,1738699936104,1738699936870,10,CanvasP,CanvasP,True
1738699937381,1738699938528,1738699939262,30,CanvasB,CanvasB,True
1738699939771,1738699941160,1738699941827,-10,CanvasE,CanvasE,True
1738699942338,1738699943627,1738699944272,20,CanvasP,CanvasP,True
1738699944784,1738699945949,1738699946560,30,CanvasP,CanvasP,True
1738699947070,1738699948605,1738699949216,-30,CanvasE,CanvasE,True
1738699949726,1738699950883,1738699951516,30,CanvasP,CanvasP,True
1738699952018,1738699953461,1738699954049,-30,CanvasP,CanvasP,True
1738699954562,1738699955804,1738699956384,-10,CanvasP,CanvasP,True
1738699956894,1738699958362,1738699958961,0,CanvasE,CanvasE,True
1738699959472,1738699960428,1738699961361,-30,CanvasB,CanvasB,True
1738699961871,1738699962983,1738699963595,-10,CanvasB,CanvasB,True
1738699964105,1738699965538,1738699966249,-20,CanvasP,CanvasP,True
1738699966761,1738699968061,1738699968649,20,CanvasE,CanvasE,True
1738699969161,1738699970572,1738699971228,-30,CanvasE,CanvasE,True
1738699971740,1738699973261,1738699973839,-30,CanvasE,CanvasE,True
1738699974350,1738699975907,1738699976472,0,CanvasE,CanvasE,True
1738699976983,1738699978361,1738699978973,20,CanvasP,CanvasP,True
1738699979483,1738699980461,1738699981183,30,CanvasE,CanvasE,True
1738699981684,1738699983050,1738699983773,0,CanvasP,CanvasP,True
1738699984282,1738699985795,1738699986350,-30,CanvasB,CanvasB,True
1738699986862,1738699987997,1738699988650,-30,CanvasB,CanvasB,True
1738699989162,1738699990195,1738699990718,20,CanvasP,CanvasP,True
1738699991227,1738699992438,1738699993095,0,CanvasE,CanvasE,True
1738699993597,1738699995117,1738699995672,0,CanvasE,CanvasE,True
1738699996183,1738699997462,1738699998218,-20,CanvasP,CanvasP,True
1738699998728,1738700000162,1738700000961,0,CanvasP,CanvasP,True
1738700001470,1738700002204,1738700002762,-20,CanvasP,CanvasP,True
1738700003273,1738700004584,1738700005217,-30,CanvasB,CanvasB,True
1738700005728,1738700006783,1738700007717,-10,CanvasE,CanvasE,True
1738700008228,1738700009818,1738700010497,0,CanvasP,CanvasP,True
1738700011006,1738700012274,1738700013105,0,CanvasB,CanvasB,True
1738700013616,1738700015095,1738700015718,-20,CanvasE,CanvasE,True
1738700016228,1738700017140,1738700017763,10,CanvasB,CanvasB,True
1738700018274,1738700019164,1738700020085,30,CanvasE,CanvasE,True
1738700020596,1738700022039,1738700022629,20,CanvasE,CanvasE,True
