CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738047201167,1738047202180,1738047202838,10,CanvasE,CanvasP,False
1738047203342,1738047204896,1738047205309,30,CanvasB,CanvasP,False
1738047205816,1738047206725,1738047206985,0,CanvasB,CanvasB,True
1738047207499,1738047208723,1738047209056,-10,CanvasB,CanvasE,False
1738047209568,1738047211251,1738047211634,-30,CanvasE,CanvasE,True
1738047212138,1738047213528,1738047213923,-30,CanvasP,CanvasE,False
1738047214432,1738047215603,1738047216774,-30,CanvasB,CanvasE,False
1738047217279,1738047218429,1738047218855,-30,CanvasB,CanvasE,False
1738047219363,1738047220152,1738047220716,10,CanvasP,CanvasP,True
1738047221230,1738047222020,1738047222419,10,CanvasB,CanvasP,False
1738047222930,1738047224106,1738047224573,-20,CanvasE,CanvasE,True
1738047225079,1738047225976,1738047226316,0,CanvasP,CanvasB,False
1738047226823,1738047227611,1738047227950,-30,CanvasB,CanvasE,False
1738047228581,1738047229676,1738047229972,0,CanvasP,CanvasP,True
1738047230493,1738047231881,1738047232345,30,CanvasP,CanvasP,True
1738047232849,1738047234322,1738047234711,0,CanvasB,CanvasB,True
1738047235214,1738047236847,1738047237390,-10,CanvasP,CanvasB,False
1738047237896,1738047238886,1738047239319,20,CanvasE,CanvasP,False
1738047239831,1738047241389,1738047241825,10,CanvasB,CanvasP,False
1738047242340,1738047243675,1738047244033,-20,CanvasB,CanvasE,False
1738047244544,1738047245470,1738047245858,-20,CanvasP,CanvasE,False
1738047246373,1738047247408,1738047247872,0,CanvasP,CanvasB,False
1738047248389,1738047249397,1738047249820,0,CanvasP,CanvasB,False
1738047250340,1738047251261,1738047251659,-20,CanvasE,CanvasE,True
1738047252170,1738047253507,1738047253900,-10,CanvasP,CanvasE,False
1738047254405,1738047255518,1738047255835,0,CanvasB,CanvasE,False
1738047256357,1738047257371,1738047257757,-20,CanvasE,CanvasE,True
1738047258276,1738047259626,1738047260075,20,CanvasB,CanvasP,False
1738047260577,1738047261378,1738047261743,10,CanvasB,CanvasP,False
1738047262260,1738047263510,1738047263896,10,CanvasP,CanvasP,True
1738047264406,1738047265402,1738047265780,20,CanvasE,CanvasP,False
1738047266307,1738047267139,1738047267506,30,CanvasB,CanvasP,False
1738047268023,1738047268898,1738047269308,10,CanvasB,CanvasP,False
1738047269817,1738047271295,1738047271772,20,CanvasP,CanvasP,True
1738047272280,1738047273700,1738047274115,30,CanvasP,CanvasP,True
1738047274630,1738047275668,1738047276130,-20,CanvasP,CanvasE,False
1738047276647,1738047278356,1738047278896,-10,CanvasE,CanvasB,False
1738047279407,1738047280383,1738047280725,20,CanvasE,CanvasP,False
1738047281243,1738047282045,1738047282449,20,CanvasB,CanvasP,False
1738047282965,1738047284120,1738047284611,30,CanvasP,CanvasP,True
1738047285118,1738047286819,1738047287260,10,CanvasP,CanvasP,True
1738047287778,1738047289451,1738047289847,-20,CanvasB,CanvasE,False
1738047290360,1738047291512,1738047291859,-30,CanvasE,CanvasE,True
1738047292371,1738047293149,1738047293575,30,CanvasP,CanvasP,True
1738047294090,1738047294934,1738047295493,10,CanvasB,CanvasB,True
1738047296006,1738047297545,1738047297895,30,CanvasP,CanvasP,True
1738047298414,1738047299725,1738047300085,-30,CanvasB,CanvasE,False
1738047300589,1738047301998,1738047302581,-20,CanvasB,CanvasE,False
1738047303083,1738047304758,1738047305353,30,CanvasP,CanvasP,True
1738047305870,1738047307497,1738047307883,0,CanvasE,CanvasB,False
