CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738194956713,1738194957967,1738194958482,10,CanvasE,CanvasE,True
1738194958993,1738194959725,1738194960190,10,CanvasB,CanvasB,True
1738194960706,1738194961648,1738194962224,20,CanvasB,CanvasE,False
1738194962725,1738194964253,1738194964864,-20,CanvasP,CanvasP,True
1738194965378,1738194966404,1738194966982,30,CanvasB,CanvasB,True
1738194967492,1738194968567,1738194969177,20,CanvasP,CanvasP,True
1738194969686,1738194970633,1738194971412,30,CanvasP,CanvasP,True
1738194971915,1738194973013,1738194974552,0,CanvasB,CanvasE,False
1738194975056,1738194975807,1738194976787,-30,CanvasB,CanvasB,True
1738194977295,1738194978625,1738194979258,0,CanvasB,CanvasB,True
1738194979759,1738194980596,1738194981180,20,CanvasP,CanvasP,True
1738194981692,1738194982581,1738194983224,10,CanvasE,CanvasE,True
1738194983737,1738194984906,1738194985540,0,CanvasB,CanvasB,True
1738194986042,1738194987234,1738194987890,10,CanvasE,CanvasE,True
1738194988393,1738194989430,1738194990384,-30,CanvasB,CanvasB,True
1738194990893,1738194991706,1738194992296,-20,CanvasP,CanvasP,True
1738194992811,1738194993969,1738194995412,0,CanvasP,CanvasP,True
1738194995914,1738194996703,1738194997298,-10,CanvasP,CanvasP,True
1738194997802,1738194999172,1738194999902,10,CanvasE,CanvasE,True
1738195000412,1738195001232,1738195001852,10,CanvasE,CanvasE,True
1738195002368,1738195003864,1738195004595,-30,CanvasE,CanvasE,True
1738195005100,1738195006672,1738195007245,-10,CanvasB,CanvasB,True
1738195007757,1738195009009,1738195009604,-10,CanvasE,CanvasE,True
1738195010113,1738195011091,1738195011678,0,CanvasB,CanvasB,True
1738195012179,1738195013789,1738195014503,-30,CanvasE,CanvasE,True
1738195015011,1738195015834,1738195016467,-20,CanvasE,CanvasE,True
1738195016980,1738195018401,1738195019031,0,CanvasE,CanvasE,True
1738195019532,1738195021140,1738195021756,-30,CanvasE,CanvasE,True
1738195022261,1738195022978,1738195023502,10,CanvasP,CanvasP,True
1738195024014,1738195025548,1738195026094,0,CanvasE,CanvasE,True
1738195026596,1738195027601,1738195028166,30,CanvasP,CanvasP,True
1738195028670,1738195030156,1738195030907,20,CanvasE,CanvasE,True
1738195031417,1738195033099,1738195033614,-10,CanvasE,CanvasE,True
1738195034124,1738195035304,1738195035894,30,CanvasE,CanvasE,True
1738195036400,1738195037448,1738195038086,30,CanvasP,CanvasP,True
1738195038593,1738195039962,1738195040582,10,CanvasP,CanvasP,True
1738195041096,1738195041881,1738195042336,10,CanvasB,CanvasB,True
1738195042846,1738195043717,1738195044376,30,CanvasE,CanvasE,True
1738195044880,1738195045869,1738195046502,20,CanvasE,CanvasE,True
1738195047013,1738195048434,1738195049072,-30,CanvasB,CanvasB,True
1738195049576,1738195050494,1738195050962,-20,CanvasB,CanvasB,True
1738195051478,1738195052614,1738195053128,-20,CanvasB,CanvasB,True
1738195053637,1738195055281,1738195056025,-30,CanvasB,CanvasB,True
1738195056529,1738195058091,1738195058734,0,CanvasE,CanvasE,True
1738195059235,1738195060083,1738195060764,0,CanvasB,CanvasB,True
1738195061274,1738195062122,1738195062609,10,CanvasB,CanvasB,True
1738195063124,1738195064825,1738195065665,30,CanvasP,CanvasP,True
1738195066169,1738195067393,1738195067977,20,CanvasP,CanvasP,True
1738195068479,1738195070011,1738195070549,-20,CanvasP,CanvasP,True
1738195071054,1738195072011,1738195072571,0,CanvasP,CanvasP,True
