CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738296840016,1738296841197,1738296841966,-20,CanvasP,CanvasP,True
1738296842481,1738296843804,1738296845111,-10,CanvasE,CanvasE,True
1738296845613,1738296846404,1738296847057,20,CanvasB,CanvasB,True
1738296847570,1738296848583,1738296851760,30,CanvasE,CanvasE,True
1738296852265,1738296853492,1738296854657,10,CanvasP,CanvasP,True
1738296855179,1738296856050,1738296857187,-20,CanvasE,CanvasE,True
1738296857695,1738296859031,1738296860109,20,CanvasP,CanvasP,True
1738296860616,1738296861869,1738296862802,-10,CanvasB,CanvasB,True
1738296863312,1738296864320,1738296865212,-20,CanvasP,CanvasP,True
1738296865719,1738296867429,1738296868038,-20,CanvasP,CanvasP,True
1738296868552,1738296869378,1738296871226,20,CanvasE,CanvasE,True
1738296871739,1738296872831,1738296873652,10,CanvasP,CanvasP,True
1738296874165,1738296875274,1738296876568,20,CanvasB,CanvasB,True
1738296877079,1738296877974,1738296879201,30,CanvasE,CanvasE,True
1738296879711,1738296880919,1738296881619,30,CanvasE,CanvasE,True
1738296882124,1738296883609,1738296884333,20,CanvasB,CanvasB,True
1738296884841,1738296886173,1738296887437,-30,CanvasE,CanvasE,True
1738296887944,1738296888669,1738296889251,-30,CanvasB,CanvasB,True
1738296889769,1738296890801,1738296891777,-20,CanvasE,CanvasE,True
1738296892290,1738296893093,1738296894203,-30,CanvasP,CanvasP,True
1738296894714,1738296896079,1738296898010,20,CanvasB,CanvasB,True
1738296898520,1738296900057,1738296900822,0,CanvasE,CanvasE,True
1738296901333,1738296902098,1738296903442,10,CanvasP,CanvasP,True
1738296903945,1738296905114,1738296905814,0,CanvasB,CanvasB,True
1738296906324,1738296907586,1738296908717,-20,CanvasP,CanvasP,True
1738296909219,1738296910473,1738296912090,30,CanvasE,CanvasE,True
1738296912592,1738296913960,1738296914822,0,CanvasB,CanvasB,True
1738296915334,1738296916605,1738296917362,30,CanvasP,CanvasP,True
1738296917863,1738296919392,1738296920480,20,CanvasB,CanvasB,True
1738296920989,1738296922370,1738296922882,0,CanvasB,CanvasB,True
1738296923390,1738296924861,1738296925489,0,CanvasB,CanvasB,True
1738296925990,1738296927411,1738296929509,20,CanvasE,CanvasE,True
1738296930022,1738296931648,1738296932268,30,CanvasB,CanvasB,True
1738296932771,1738296933856,1738296936668,-10,CanvasE,CanvasE,True
1738296937181,1738296938802,1738296940428,-20,CanvasP,CanvasP,True
1738296940932,1738296942207,1738296942922,10,CanvasE,CanvasE,True
1738296943429,1738296945054,1738296946223,30,CanvasE,CanvasE,True
1738296946732,1738296947723,1738296948746,-20,CanvasP,CanvasP,True
1738296949248,1738296950796,1738296952713,30,CanvasP,CanvasP,True
1738296953219,1738296954776,1738296955385,0,CanvasP,CanvasP,True
1738296955895,1738296957135,1738296957736,-30,CanvasE,CanvasE,True
1738296958249,1738296959937,1738296960679,20,CanvasE,CanvasE,True
1738296961183,1738296962596,1738296963358,-10,CanvasB,CanvasB,True
1738296963860,1738296965358,1738296966418,-20,CanvasP,CanvasP,True
1738296966920,1738296968031,1738296969305,-10,CanvasB,CanvasB,True
1738296969808,1738296971452,1738296972148,10,CanvasP,CanvasP,True
1738296972651,1738296973507,1738296974024,-10,CanvasE,CanvasE,True
1738296974543,1738296975357,1738296976463,10,CanvasB,CanvasB,True
1738296976977,1738296978282,1738296980521,-20,CanvasE,CanvasE,True
1738296981034,1738296982110,1738296983027,30,CanvasP,CanvasP,True
