CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1718909000664,1718909001777,1718909003611,0,face2,face3,False
1718909004118,1718909004977,1718909005897,0,face2,face3,False
1718909006405,1718909007365,1718909008849,+30,face3,face2,False
1718909009354,1718909010153,1718909011082,0,face1,face1,True
1718909011588,1718909013079,1718909015362,+30,face3,face3,True
1718909015868,1718909016766,1718909018061,-30,face3,face3,True
1718909018566,1718909019883,1718909021378,+30,face3,face3,True
1718909021886,1718909023341,1718909024394,-30,face1,face1,True
1718909024901,1718909025989,1718909026916,-30,face1,face1,True
1718909027423,1718909028474,1718909029210,-30,face1,face1,True
1718909029718,1718909031072,1718909031946,+30,face3,face3,True
1718909032453,1718909033832,1718909034859,-30,face2,face2,True
1718909035363,1718909036870,1718909038163,+30,face2,face3,False
1718909038671,1718909040063,1718909041941,0,face3,face3,True
1718909042448,1718909043650,1718909044734,0,face2,face2,True
1718909045242,1718909046848,1718909047805,0,face1,face1,True
1718909048310,1718909049186,1718909051289,0,face3,face3,True
1718909051796,1718909052986,1718909053751,0,face2,face2,True
1718909054260,1718909055487,1718909056880,+30,face1,face1,True
1718909057387,1718909058427,1718909060213,+30,face1,face1,True
1718909060720,1718909062393,1718909064889,-30,face3,face3,True
1718909065396,1718909066270,1718909067349,-30,face3,face3,True
1718909067854,1718909068943,1718909070249,+30,face3,face3,True
1718909070755,1718909071832,1718909072673,0,face1,face1,True
1718909073180,1718909074786,1718909075840,+30,face1,face1,True
1718909076348,1718909077841,1718909079286,-30,face2,face2,True
1718909079793,1718909081212,1718909082652,0,face2,face3,False
1718909083159,1718909083971,1718909084857,+30,face2,face3,False
1718909085364,1718909086606,1718909087452,0,face2,face3,False
1718909087960,1718909089099,1718909089851,0,face2,face3,False
1718909090360,1718909091499,1718909094048,0,face3,face3,True
1718909094554,1718909095403,1718909096571,+30,face2,face2,True
1718909097075,1718909098465,1718909099405,-30,face2,face2,True
1718909099911,1718909101229,1718909102362,0,face3,face3,True
1718909102870,1718909104212,1718909105127,+30,face1,face1,True
1718909105632,1718909106532,1718909107790,-30,face3,face3,True
1718909108296,1718909109628,1718909110453,+30,face2,face2,True
1718909110960,1718909112127,1718909113319,-30,face2,face2,True
1718909113827,1718909114840,1718909115943,+30,face1,face1,True
1718909116450,1718909117487,1718909119301,-30,face3,face3,True
1718909119808,1718909120796,1718909121710,+30,face1,face1,True
1718909122218,1718909123373,1718909124718,-30,face3,face3,True
1718909125225,1718909126745,1718909127481,-30,face3,face3,True
1718909127987,1718909128825,1718909129917,-30,face1,face1,True
1718909130425,1718909131958,1718909132888,0,face3,face3,True
1718909133395,1718909134396,1718909135073,0,face3,face3,True
1718909135583,1718909136744,1718909137645,+30,face2,face2,True
1718909138152,1718909138863,1718909139889,+30,face2,face2,True
1718909140396,1718909141538,1718909142515,-30,face2,face2,True
1718909143020,1718909143870,1718909146306,-30,face3,face3,True
1718909146812,1718909148193,1718909149019,-30,face3,face3,True
1718909149526,1718909150771,1718909151599,+30,face3,face3,True
1718909152106,1718909153020,1718909153710,0,face2,face2,True
1718909154217,1718909155870,1718909156944,0,face3,face3,True
1718909157451,1718909158418,1718909159484,+30,face3,face3,True
1718909159994,1718909161186,1718909162531,+30,face2,face1,False
1718909163039,1718909164076,1718909164981,+30,face2,face1,False
1718909165487,1718909166564,1718909169230,0,face2,face2,True
1718909169739,1718909171160,1718909172443,-30,face1,face1,True
1718909172952,1718909174221,1718909175474,0,face1,face1,True
1718909175982,1718909176769,1718909177752,0,face3,face3,True
1718909178260,1718909179287,1718909180394,+30,face3,face3,True
1718909180903,1718909181840,1718909182689,+30,face3,face3,True
1718909183198,1718909184304,1718909185108,0,face3,face3,True
1718909185616,1718909186820,1718909187587,0,face1,face1,True
1718909188094,1718909189554,1718909191816,+30,face3,face3,True
1718909192324,1718909193821,1718909194597,-30,face1,face1,True
1718909195105,1718909196139,1718909197211,-30,face2,face2,True
1718909197724,1718909198921,1718909200003,-30,face3,face3,True
1718909200509,1718909201638,1718909202404,0,face2,face2,True
1718909202911,1718909204029,1718909205043,-30,face1,face1,True
1718909205552,1718909207163,1718909208230,+30,face1,face1,True
1718909208738,1718909210337,1718909211758,-30,face3,face3,True
1718909212263,1718909213825,1718909215299,-30,face1,face1,True
1718909215807,1718909217261,1718909218472,0,face2,face2,True
1718909218980,1718909219794,1718909220980,-30,face3,face3,True
1718909221487,1718909222503,1718909223454,-30,face2,face2,True
1718909223963,1718909225538,1718909226197,-30,face2,face2,True
1718909226705,1718909228039,1718909228966,-30,face1,face1,True
1718909229474,1718909230297,1718909231896,-30,face3,face3,True
1718909232406,1718909233419,1718909236099,-30,face1,face1,True
1718909236607,1718909238027,1718909238803,-30,face2,face2,True
1718909239310,1718909240118,1718909241191,0,face2,face2,True
1718909241698,1718909242675,1718909243818,+30,face2,face2,True
