CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738017606625,1738017607369,1738017608681,30,CanvasB,CanvasB,True
1738017609192,1738017610202,1738017610802,-20,CanvasB,CanvasB,True
1738017611314,1738017612401,1738017612992,-20,CanvasE,CanvasE,True
1738017613500,1738017615114,1738017615825,30,CanvasP,CanvasP,True
1738017616335,1738017617369,1738017617792,0,CanvasB,CanvasB,True
1738017618304,1738017619436,1738017620037,-10,CanvasP,CanvasP,True
1738017620546,1738017621892,1738017622592,20,CanvasB,CanvasB,True
1738017623103,1738017623937,1738017624656,20,CanvasB,CanvasB,True
1738017625158,1738017626190,1738017626880,30,CanvasE,CanvasE,True
1738017627391,1738017628791,1738017629303,30,CanvasP,CanvasP,True
1738017629813,1738017630724,1738017631360,20,CanvasE,CanvasE,True
1738017631869,1738017632846,1738017634227,0,CanvasB,CanvasP,False
1738017634736,1738017636214,1738017636871,-30,CanvasP,CanvasP,True
1738017637380,1738017638546,1738017639059,20,CanvasB,CanvasB,True
1738017639570,1738017640647,1738017641157,20,CanvasE,CanvasE,True
1738017641669,1738017643158,1738017643604,10,CanvasB,CanvasB,True
1738017644114,1738017644969,1738017645538,-30,CanvasB,CanvasB,True
1738017646046,1738017647059,1738017647803,-10,CanvasP,CanvasP,True
1738017648313,1738017649170,1738017649960,-30,CanvasE,CanvasE,True
1738017650470,1738017651416,1738017652192,-30,CanvasB,CanvasB,True
1738017652704,1738017653748,1738017654249,-30,CanvasB,CanvasB,True
1738017654759,1738017656315,1738017656927,-10,CanvasE,CanvasE,True
1738017657435,1738017659080,1738017659727,-10,CanvasP,CanvasP,True
1738017660236,1738017661759,1738017662960,0,CanvasP,CanvasP,True
1738017663469,1738017664371,1738017664947,-10,CanvasE,CanvasE,True
1738017665458,1738017666403,1738017666926,10,CanvasE,CanvasE,True
1738017667435,1738017668715,1738017669216,-20,CanvasE,CanvasE,True
1738017669725,1738017670872,1738017671415,30,CanvasB,CanvasB,True
1738017671927,1738017672792,1738017673426,30,CanvasP,CanvasP,True
1738017673936,1738017675183,1738017675783,-30,CanvasE,CanvasE,True
1738017676293,1738017677481,1738017678538,0,CanvasP,CanvasP,True
1738017679047,1738017679793,1738017680394,30,CanvasE,CanvasE,True
1738017680906,1738017681658,1738017682349,0,CanvasP,CanvasP,True
1738017682860,1738017684158,1738017684715,30,CanvasB,CanvasE,False
1738017685225,1738017686624,1738017687413,-20,CanvasP,CanvasP,True
1738017687924,1738017689492,1738017690049,20,CanvasP,CanvasP,True
1738017690559,1738017691371,1738017691961,0,CanvasP,CanvasP,True
1738017692470,1738017693349,1738017693849,-30,CanvasE,CanvasE,True
1738017694359,1738017695862,1738017696627,-10,CanvasB,CanvasB,True
1738017697136,1738017698361,1738017698961,-30,CanvasE,CanvasE,True
1738017699471,1738017701128,1738017701872,-10,CanvasP,CanvasP,True
1738017702382,1738017703894,1738017704505,20,CanvasP,CanvasP,True
1738017705014,1738017706495,1738017707217,20,CanvasE,CanvasE,True
1738017707727,1738017708738,1738017709327,10,CanvasE,CanvasE,True
1738017709837,1738017711249,1738017711716,10,CanvasE,CanvasE,True
1738017712227,1738017713572,1738017714358,-30,CanvasP,CanvasP,True
1738017714859,1738017716271,1738017717161,-20,CanvasE,CanvasE,True
1738017717671,1738017718615,1738017719183,20,CanvasP,CanvasP,True
1738017719692,1738017721192,1738017721817,20,CanvasE,CanvasE,True
1738017722328,1738017723894,1738017724505,20,CanvasP,CanvasP,True
