CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738047761306,1738047762821,1738047763663,0,CanvasE,CanvasE,True
1738047764173,1738047764901,1738047765752,20,CanvasB,CanvasB,True
1738047766256,1738047767875,1738047768500,-30,CanvasB,CanvasB,True
1738047769001,1738047770552,1738047771388,20,CanvasP,CanvasP,True
1738047771901,1738047773335,1738047773908,-30,CanvasE,CanvasE,True
1738047774409,1738047775354,1738047776122,0,CanvasP,CanvasP,True
1738047776639,1738047777399,1738047777960,20,CanvasP,CanvasP,True
1738047778478,1738047779701,1738047780316,0,CanvasP,CanvasP,True
1738047780826,1738047782410,1738047783062,0,CanvasP,CanvasP,True
1738047783568,1738047785141,1738047786197,-20,CanvasB,CanvasB,True
1738047786711,1738047788307,1738047789003,-30,CanvasP,CanvasP,True
1738047789510,1738047790380,1738047790895,0,CanvasP,CanvasP,True
1738047791415,1738047793069,1738047793847,30,CanvasE,CanvasE,True
1738047794350,1738047795188,1738047796105,30,CanvasP,CanvasP,True
1738047796609,1738047797908,1738047798698,-30,CanvasB,CanvasB,True
1738047799216,1738047800667,1738047801421,-30,CanvasB,CanvasB,True
1738047801933,1738047803262,1738047803851,-10,CanvasB,CanvasB,True
1738047804359,1738047805478,1738047806178,-10,CanvasE,CanvasE,True
1738047806685,1738047807495,1738047808046,-30,CanvasE,CanvasE,True
1738047808561,1738047809871,1738047810477,20,CanvasE,CanvasE,True
1738047810989,1738047811776,1738047812639,10,CanvasE,CanvasE,True
1738047813145,1738047814842,1738047815387,0,CanvasB,CanvasB,True
1738047815898,1738047816921,1738047817569,-30,CanvasP,CanvasP,True
1738047818085,1738047819685,1738047820758,30,CanvasB,CanvasB,True
1738047821276,1738047822087,1738047822744,10,CanvasP,CanvasP,True
1738047823254,1738047824245,1738047824742,-30,CanvasE,CanvasE,True
1738047825258,1738047826306,1738047826802,-30,CanvasE,CanvasE,True
1738047827313,1738047828194,1738047828719,0,CanvasE,CanvasE,True
1738047829238,1738047830599,1738047831158,10,CanvasE,CanvasE,True
1738047831673,1738047833367,1738047833948,30,CanvasE,CanvasE,True
1738047834453,1738047835929,1738047836424,0,CanvasE,CanvasE,True
1738047836931,1738047838379,1738047838925,20,CanvasE,CanvasE,True
1738047839428,1738047840316,1738047841097,0,CanvasP,CanvasP,True
1738047841602,1738047843102,1738047843863,-10,CanvasP,CanvasP,True
1738047844367,1738047845955,1738047846487,20,CanvasE,CanvasE,True
1738047846996,1738047848135,1738047848854,-20,CanvasB,CanvasB,True
1738047849369,1738047850943,1738047851512,20,CanvasE,CanvasE,True
1738047852021,1738047852937,1738047854013,-20,CanvasB,CanvasB,True
1738047854517,1738047855340,1738047855866,10,CanvasE,CanvasE,True
1738047856384,1738047857324,1738047858093,-30,CanvasP,CanvasP,True
1738047858602,1738047860109,1738047861138,20,CanvasB,CanvasB,True
1738047861645,1738047862642,1738047863162,20,CanvasB,CanvasB,True
1738047863667,1738047864942,1738047865570,0,CanvasP,CanvasP,True
1738047866086,1738047867129,1738047867935,20,CanvasP,CanvasP,True
1738047868440,1738047869260,1738047869856,0,CanvasE,CanvasE,True
1738047870367,1738047871985,1738047872551,30,CanvasP,CanvasP,True
1738047873057,1738047874659,1738047875330,20,CanvasB,CanvasB,True
1738047875840,1738047876584,1738047877346,10,CanvasE,CanvasE,True
1738047877866,1738047879399,1738047880051,0,CanvasE,CanvasE,True
1738047880559,1738047881609,1738047882226,30,CanvasE,CanvasE,True
