CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738624214345,1738624215157,1738624216056,-30,CanvasB,CanvasB,True
1738624216567,1738624217811,1738624218368,20,CanvasE,CanvasE,True
1738624218880,1738624220546,1738624221079,20,CanvasE,CanvasB,False
1738624221591,1738624222641,1738624223168,10,CanvasE,CanvasE,True
1738624223672,1738624224650,1738624225200,-30,CanvasB,CanvasB,True
1738624225713,1738624227402,1738624227999,-20,CanvasB,CanvasB,True
1738624228510,1738624229618,1738624230335,-30,CanvasB,CanvasB,True
1738624230841,1738624232469,1738624233033,-10,CanvasP,CanvasP,True
1738624233537,1738624234976,1738624235554,-30,CanvasB,CanvasB,True
1738624236058,1738624237392,1738624237991,-10,CanvasB,CanvasB,True
1738624238512,1738624239491,1738624239936,10,CanvasE,CanvasE,True
1738624240446,1738624241661,1738624242072,10,CanvasE,CanvasE,True
1738624242580,1738624244215,1738624245227,-30,CanvasB,CanvasB,True
1738624245738,1738624247260,1738624247936,30,CanvasE,CanvasE,True
1738624248437,1738624249537,1738624250058,0,CanvasP,CanvasP,True
1738624250568,1738624251414,1738624251936,20,CanvasP,CanvasP,True
1738624252446,1738624253402,1738624254092,-10,CanvasE,CanvasE,True
1738624254602,1738624255548,1738624256194,-10,CanvasP,CanvasP,True
1738624256702,1738624257925,1738624258748,-20,CanvasE,CanvasE,True
1738624259249,1738624260550,1738624261083,10,CanvasB,CanvasB,True
1738624261592,1738624262902,1738624263360,-20,CanvasB,CanvasB,True
1738624263868,1738624264724,1738624265414,20,CanvasE,CanvasE,True
1738624265923,1738624267013,1738624267615,0,CanvasP,CanvasP,True
1738624268124,1738624268926,1738624269481,-20,CanvasP,CanvasP,True
1738624269992,1738624271114,1738624271625,0,CanvasB,CanvasB,True
1738624272127,1738624273125,1738624273538,-10,CanvasB,CanvasB,True
1738624274047,1738624275480,1738624276081,30,CanvasP,CanvasP,True
1738624276584,1738624277614,1738624278417,-10,CanvasE,CanvasE,True
1738624278926,1738624279781,1738624280251,20,CanvasB,CanvasB,True
1738624280758,1738624282436,1738624283248,0,CanvasB,CanvasB,True
1738624283759,1738624284567,1738624285224,-30,CanvasP,CanvasP,True
1738624285734,1738624286901,1738624287447,20,CanvasB,CanvasB,True
1738624287958,1738624289257,1738624290047,10,CanvasP,CanvasP,True
1738624290558,1738624291292,1738624291849,10,CanvasE,CanvasE,True
1738624292358,1738624293514,1738624294038,-20,CanvasP,CanvasP,True
1738624294547,1738624295747,1738624296271,10,CanvasB,CanvasB,True
1738624296781,1738624298147,1738624298571,-20,CanvasE,CanvasE,True
1738624299081,1738624300538,1738624301038,10,CanvasB,CanvasB,True
1738624301548,1738624302805,1738624303370,-30,CanvasE,CanvasE,True
1738624303881,1738624305172,1738624305716,10,CanvasP,CanvasP,True
1738624306226,1738624307415,1738624307970,0,CanvasE,CanvasE,True
1738624308481,1738624310138,1738624310693,20,CanvasP,CanvasP,True
1738624311203,1738624312737,1738624313326,-30,CanvasP,CanvasP,True
1738624313839,1738624315382,1738624316172,-30,CanvasB,CanvasB,True
1738624316681,1738624317839,1738624318271,-10,CanvasE,CanvasE,True
1738624318782,1738624319604,1738624320182,-10,CanvasP,CanvasP,True
1738624320694,1738624322294,1738624322761,-30,CanvasE,CanvasE,True
1738624323271,1738624324115,1738624324693,-10,CanvasE,CanvasE,True
1738624325204,1738624326070,1738624326480,20,CanvasP,CanvasB,False
1738624326992,1738624328116,1738624328572,20,CanvasB,CanvasB,True
