CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1744868271725,1744868272691,1744868273504,20,CanvasE,CanvasE,True
1744868274012,1744868274907,1744868275836,0,CanvasP,CanvasP,True
1744868276337,1744868277141,1744868277883,0,CanvasE,CanvasE,True
1744868278389,1744868279206,1744868279880,-30,CanvasE,CanvasE,True
1744868280389,1744868281801,1744868282539,30,CanvasP,CanvasP,True
1744868283044,1744868284172,1744868284873,30,CanvasP,CanvasP,True
1744868285380,1744868286371,1744868287036,-20,CanvasE,CanvasE,True
1744868287552,1744868288530,1744868289315,-20,CanvasP,CanvasP,True
1744868289827,1744868291531,1744868292202,20,CanvasE,CanvasE,True
1744868292708,1744868293602,1744868294180,10,CanvasE,CanvasE,True
1744868294691,1744868295617,1744868296380,-30,CanvasB,CanvasB,True
1744868296888,1744868298181,1744868298871,-10,CanvasB,CanvasB,True
1744868299381,1744868300954,1744868302113,20,CanvasE,CanvasE,True
1744868302621,1744868303706,1744868304573,-30,CanvasE,CanvasE,True
1744868305080,1744868306108,1744868306857,-20,CanvasB,CanvasB,True
1744868307368,1744868308558,1744868309539,-30,CanvasP,CanvasP,True
1744868310041,1744868311724,1744868312241,-10,CanvasP,CanvasP,True
1744868312750,1744868314312,1744868314928,20,CanvasE,CanvasE,True
1744868315430,1744868316636,1744868317222,20,CanvasB,CanvasB,True
1744868317724,1744868319177,1744868319879,-30,CanvasP,CanvasP,True
1744868320397,1744868321182,1744868321830,10,CanvasP,CanvasP,True
1744868322343,1744868323583,1744868324304,-30,CanvasE,CanvasE,True
1744868324812,1744868325901,1744868327290,-30,CanvasP,CanvasP,True
1744868327794,1744868329194,1744868329964,0,CanvasE,CanvasE,True
1744868330473,1744868332152,1744868332978,30,CanvasP,CanvasP,True
1744868333488,1744868334456,1744868335443,-30,CanvasE,CanvasE,True
1744868335952,1744868337069,1744868337828,-30,CanvasB,CanvasB,True
1744868338343,1744868339559,1744868340394,30,CanvasB,CanvasB,True
1744868340908,1744868341899,1744868342466,10,CanvasB,CanvasB,True
1744868342983,1744868343800,1744868344465,20,CanvasE,CanvasE,True
1744868344976,1744868346104,1744868346759,0,CanvasB,CanvasB,True
1744868347267,1744868348141,1744868348824,0,CanvasP,CanvasP,True
1744868349336,1744868350440,1744868350991,20,CanvasP,CanvasP,True
1744868351502,1744868352213,1744868352683,-20,CanvasP,CanvasP,True
1744868353192,1744868354430,1744868355146,0,CanvasB,CanvasB,True
1744868355654,1744868356823,1744868357386,10,CanvasP,CanvasP,True
1744868357894,1744868359008,1744868359651,-30,CanvasB,CanvasB,True
1744868360155,1744868361245,1744868362205,10,CanvasE,CanvasE,True
1744868362716,1744868363811,1744868364617,20,CanvasP,CanvasP,True
1744868365122,1744868366274,1744868366880,-10,CanvasP,CanvasP,True
1744868367387,1744868368566,1744868369176,10,CanvasB,CanvasB,True
1744868369683,1744868371201,1744868372179,20,CanvasE,CanvasE,True
1744868372683,1744868373566,1744868374342,10,CanvasB,CanvasB,True
1744868374851,1744868375731,1744868376212,-20,CanvasB,CanvasB,True
1744868376728,1744868377861,1744868378780,-30,CanvasE,CanvasE,True
1744868379282,1744868380983,1744868381635,20,CanvasB,CanvasB,True
1744868382143,1744868383739,1744868384942,-30,CanvasP,CanvasP,True
1744868385449,1744868387002,1744868387601,-20,CanvasB,CanvasB,True
1744868388115,1744868389130,1744868389838,-10,CanvasP,CanvasE,False
1744868390353,1744868391073,1744868391785,0,CanvasP,CanvasP,True
