CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738267475515,1738267476560,1738267477083,-10,CanvasE,CanvasE,True
1738267477593,1738267478771,1738267479205,-30,CanvasE,CanvasE,True
1738267479706,1738267481384,1738267481894,10,CanvasP,CanvasP,True
1738267482404,1738267483893,1738267484405,30,CanvasB,CanvasB,True
1738267484915,1738267485982,1738267486283,-30,CanvasB,CanvasE,False
1738267486793,1738267487570,1738267488172,20,CanvasP,CanvasP,True
1738267488681,1738267489904,1738267490516,30,CanvasB,CanvasB,True
1738267491027,1738267492238,1738267492828,10,CanvasP,CanvasP,True
1738267493338,1738267494705,1738267495183,30,CanvasP,CanvasP,True
1738267495693,1738267496506,1738267496928,-30,CanvasE,CanvasE,True
1738267497437,1738267498194,1738267498595,-30,CanvasE,CanvasE,True
1738267499105,1738267499985,1738267500428,-10,CanvasB,CanvasB,True
1738267500938,1738267502495,1738267503050,10,CanvasE,CanvasE,True
1738267503561,1738267504805,1738267505195,-10,CanvasE,CanvasE,True
1738267505705,1738267506472,1738267506861,0,CanvasP,CanvasE,False
1738267507370,1738267508139,1738267508851,20,CanvasB,CanvasB,True
1738267509362,1738267510450,1738267510895,-10,CanvasE,CanvasE,True
1738267511404,1738267512405,1738267512906,20,CanvasP,CanvasP,True
1738267513416,1738267514695,1738267515340,-20,CanvasB,CanvasB,True
1738267515850,1738267516817,1738267517296,-20,CanvasB,CanvasB,True
1738267517805,1738267519484,1738267519985,-20,CanvasE,CanvasE,True
1738267520495,1738267521662,1738267522174,-20,CanvasB,CanvasB,True
1738267522683,1738267524139,1738267524618,-20,CanvasE,CanvasE,True
1738267525129,1738267526449,1738267526917,10,CanvasE,CanvasB,False
1738267527427,1738267528550,1738267529141,10,CanvasP,CanvasP,True
1738267529650,1738267531139,1738267531539,-30,CanvasE,CanvasE,True
1738267532049,1738267533128,1738267533729,30,CanvasE,CanvasE,True
1738267534239,1738267535741,1738267536240,-10,CanvasE,CanvasE,True
1738267536749,1738267537906,1738267538562,-20,CanvasP,CanvasP,True
1738267539073,1738267540084,1738267540706,-20,CanvasP,CanvasP,True
1738267541217,1738267542640,1738267543274,-10,CanvasB,CanvasB,True
1738267543785,1738267545407,1738267545964,-10,CanvasP,CanvasP,True
1738267546473,1738267547528,1738267547974,-10,CanvasE,CanvasE,True
1738267548483,1738267549441,1738267550020,-10,CanvasB,CanvasB,True
1738267550529,1738267551351,1738267551907,20,CanvasB,CanvasB,True
1738267552417,1738267554085,1738267554564,-20,CanvasE,CanvasE,True
1738267555075,1738267555940,1738267556484,-30,CanvasP,CanvasP,True
1738267556995,1738267558051,1738267558597,-20,CanvasB,CanvasB,True
1738267559107,1738267560709,1738267561198,-30,CanvasE,CanvasE,True
1738267561708,1738267563307,1738267563820,10,CanvasE,CanvasE,True
1738267564329,1738267565463,1738267566064,0,CanvasP,CanvasP,True
1738267566575,1738267568052,1738267568587,30,CanvasB,CanvasB,True
1738267569096,1738267570675,1738267571230,-30,CanvasB,CanvasB,True
1738267571740,1738267572453,1738267572976,30,CanvasB,CanvasB,True
1738267573484,1738267574664,1738267575285,20,CanvasP,CanvasP,True
1738267575796,1738267577343,1738267577941,0,CanvasE,CanvasE,True
1738267578451,1738267579773,1738267580297,-10,CanvasP,CanvasP,True
1738267580807,1738267581619,1738267582398,30,CanvasP,CanvasP,True
1738267582907,1738267584587,1738267585120,10,CanvasP,CanvasP,True
1738267585629,1738267587018,1738267587485,20,CanvasP,CanvasP,True
