CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1743622453253,1743622453975,1743622454677,30,CanvasB,CanvasB,True
1743622455188,1743622456099,1743622456699,-20,CanvasP,CanvasP,True
1743622457210,1743622458188,1743622458676,-10,CanvasB,CanvasB,True
1743622459186,1743622460809,1743622461432,30,CanvasB,CanvasB,True
1743622461943,1743622463111,1743622463644,-30,CanvasP,CanvasP,True
1743622464154,1743622464945,1743622465444,30,CanvasP,CanvasP,True
1743622465954,1743622467266,1743622467743,30,CanvasB,CanvasB,True
1743622468254,1743622469243,1743622469710,-10,CanvasB,CanvasB,True
1743622470221,1743622471587,1743622472002,20,CanvasP,CanvasP,True
1743622472508,1743622474132,1743622474666,-20,CanvasP,CanvasP,True
1743622475176,1743622476754,1743622477355,-30,CanvasB,CanvasB,True
1743622477865,1743622479554,1743622480154,-10,CanvasE,CanvasE,True
1743622480664,1743622481711,1743622482376,10,CanvasP,CanvasP,True
1743622482886,1743622483800,1743622484278,10,CanvasE,CanvasB,False
1743622484787,1743622486442,1743622486954,-20,CanvasE,CanvasE,True
1743622487464,1743622488811,1743622489200,10,CanvasE,CanvasE,True
1743622489710,1743622490443,1743622490922,20,CanvasB,CanvasB,True
1743622491431,1743622492964,1743622493554,20,CanvasB,CanvasB,True
1743622494065,1743622494833,1743622495388,-20,CanvasP,CanvasP,True
1743622495899,1743622496688,1743622497421,-20,CanvasB,CanvasB,True
1743622497931,1743622499366,1743622499953,30,CanvasP,CanvasP,True
1743622500465,1743622501455,1743622501967,20,CanvasB,CanvasB,True
1743622502477,1743622503833,1743622504356,0,CanvasE,CanvasE,True
1743622504867,1743622506432,1743622507132,30,CanvasE,CanvasE,True
1743622507643,1743622508519,1743622509088,-20,CanvasB,CanvasB,True
1743622509597,1743622510688,1743622511099,20,CanvasP,CanvasP,True
1743622511610,1743622513200,1743622513822,20,CanvasE,CanvasE,True
1743622514332,1743622515332,1743622515854,0,CanvasB,CanvasB,True
1743622516365,1743622517987,1743622518477,-30,CanvasB,CanvasB,True
1743622518988,1743622519889,1743622520478,0,CanvasP,CanvasP,True
1743622520989,1743622522300,1743622523100,-30,CanvasB,CanvasB,True
1743622523601,1743622524845,1743622525290,10,CanvasB,CanvasB,True
1743622525800,1743622527145,1743622527713,30,CanvasB,CanvasB,True
1743622528222,1743622529689,1743622530134,-10,CanvasE,CanvasE,True
1743622530646,1743622531422,1743622532147,-30,CanvasP,CanvasP,True
1743622532648,1743622533455,1743622534024,10,CanvasB,CanvasB,True
1743622534532,1743622535321,1743622535910,-10,CanvasE,CanvasE,True
1743622536455,1743622537311,1743622537855,-10,CanvasB,CanvasB,True
1743622538365,1743622539447,1743622540011,10,CanvasB,CanvasB,True
1743622540521,1743622542168,1743622542755,30,CanvasB,CanvasB,True
1743622543268,1743622544278,1743622544900,20,CanvasP,CanvasP,True
1743622545410,1743622547009,1743622547600,30,CanvasB,CanvasB,True
1743622548110,1743622549522,1743622549923,10,CanvasB,CanvasB,True
1743622550432,1743622551455,1743622552089,-10,CanvasP,CanvasP,True
1743622552600,1743622553366,1743622553889,-20,CanvasP,CanvasP,True
1743622554400,1743622555589,1743622556001,0,CanvasE,CanvasE,True
1743622556512,1743622557301,1743622557890,10,CanvasP,CanvasB,False
1743622558401,1743622559756,1743622560379,-20,CanvasB,CanvasB,True
1743622560888,1743622561623,1743622562235,0,CanvasE,CanvasE,True
1743622562745,1743622563622,1743622564290,30,CanvasE,CanvasE,True
