CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738296216287,1738296217069,1738296217820,0,CanvasB,CanvasB,True
1738296218331,1738296219860,1738296220487,0,CanvasE,CanvasE,True
1738296220991,1738296222385,1738296222879,-10,CanvasP,CanvasP,True
1738296223383,1738296224118,1738296224646,20,CanvasB,CanvasB,True
1738296225167,1738296226179,1738296226894,-20,CanvasE,CanvasE,True
1738296227406,1738296228941,1738296229645,-20,CanvasE,CanvasE,True
1738296230148,1738296231205,1738296232125,30,CanvasP,CanvasP,True
1738296232631,1738296234158,1738296234887,20,CanvasP,CanvasP,True
1738296235402,1738296236153,1738296236861,30,CanvasP,CanvasP,True
1738296237374,1738296238855,1738296239647,0,CanvasE,CanvasE,True
1738296240155,1738296241289,1738296241801,-20,CanvasB,CanvasB,True
1738296242308,1738296243022,1738296243745,20,CanvasE,CanvasE,True
1738296244261,1738296245419,1738296246006,10,CanvasP,CanvasP,True
1738296246516,1738296247520,1738296248293,-30,CanvasP,CanvasP,True
1738296248807,1738296250221,1738296250887,10,CanvasP,CanvasP,True
1738296251389,1738296252747,1738296253464,10,CanvasE,CanvasE,True
1738296253978,1738296254768,1738296255560,30,CanvasB,CanvasB,True
1738296256064,1738296256861,1738296257984,10,CanvasP,CanvasP,True
1738296258488,1738296260078,1738296260601,0,CanvasP,CanvasP,True
1738296261113,1738296262313,1738296262989,10,CanvasB,CanvasB,True
1738296263499,1738296264855,1738296266076,-20,CanvasB,CanvasB,True
1738296266587,1738296267308,1738296268160,-30,CanvasB,CanvasB,True
1738296268666,1738296269502,1738296270057,-10,CanvasB,CanvasB,True
1738296270567,1738296271675,1738296272267,20,CanvasB,CanvasB,True
1738296272778,1738296273771,1738296274314,20,CanvasB,CanvasB,True
1738296274828,1738296276388,1738296277119,0,CanvasE,CanvasE,True
1738296277634,1738296279031,1738296280073,0,CanvasE,CanvasE,True
1738296280581,1738296282164,1738296282831,20,CanvasB,CanvasB,True
1738296283334,1738296284397,1738296285186,-10,CanvasB,CanvasB,True
1738296285693,1738296286731,1738296287391,20,CanvasB,CanvasB,True
1738296287895,1738296288664,1738296289363,0,CanvasP,CanvasP,True
1738296289878,1738296290737,1738296291437,-30,CanvasE,CanvasE,True
1738296291951,1738296292989,1738296293619,-10,CanvasE,CanvasE,True
1738296294132,1738296295511,1738296296069,-10,CanvasB,CanvasB,True
1738296296573,1738296298158,1738296298854,30,CanvasE,CanvasE,True
1738296299365,1738296300524,1738296301221,-10,CanvasP,CanvasP,True
1738296301732,1738296302988,1738296303803,-20,CanvasP,CanvasP,True
1738296304317,1738296305340,1738296306078,0,CanvasE,CanvasE,True
1738296306586,1738296307313,1738296307932,-20,CanvasB,CanvasB,True
1738296308446,1738296309176,1738296309866,-20,CanvasE,CanvasE,True
1738296310375,1738296311193,1738296311836,-10,CanvasE,CanvasE,True
1738296312346,1738296313651,1738296314261,-20,CanvasE,CanvasE,True
1738296314772,1738296315854,1738296316516,20,CanvasB,CanvasB,True
1738296317031,1738296318614,1738296319277,0,CanvasB,CanvasB,True
1738296319791,1738296321256,1738296322010,30,CanvasB,CanvasB,True
1738296322523,1738296323552,1738296324340,0,CanvasP,CanvasP,True
1738296324844,1738296326231,1738296326912,-30,CanvasP,CanvasP,True
1738296327424,1738296328499,1738296329603,-30,CanvasB,CanvasB,True
1738296330120,1738296331640,1738296332220,-20,CanvasE,CanvasE,True
1738296332730,1738296334265,1738296334937,-20,CanvasE,CanvasE,True
