CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1744868596566,1744868598181,1744868599044,10,CanvasP,CanvasP,True
1744868599554,1744868600564,1744868601132,30,CanvasP,CanvasP,True
1744868601647,1744868602375,1744868602993,0,CanvasE,CanvasE,True
1744868603508,1744868604990,1744868605643,-10,CanvasE,CanvasE,True
1744868606156,1744868607344,1744868607929,10,CanvasB,CanvasB,True
1744868608440,1744868609339,1744868609824,30,CanvasP,CanvasP,True
1744868610341,1744868611338,1744868611771,10,CanvasE,CanvasE,True
1744868612294,1744868613278,1744868613949,20,CanvasE,CanvasE,True
1744868614455,1744868616022,1744868616513,-20,CanvasB,CanvasB,True
1744868617021,1744868618029,1744868618748,-10,CanvasB,CanvasB,True
1744868619253,1744868620463,1744868621044,-10,CanvasE,CanvasE,True
1744868621546,1744868622713,1744868623698,-10,CanvasP,CanvasP,True
1744868624208,1744868625733,1744868626423,0,CanvasE,CanvasE,True
1744868626936,1744868627781,1744868628403,20,CanvasE,CanvasE,True
1744868628915,1744868630507,1744868631418,-30,CanvasP,CanvasP,True
1744868631919,1744868633003,1744868633631,-20,CanvasE,CanvasE,True
1744868634134,1744868634977,1744868635700,30,CanvasB,CanvasB,True
1744868636206,1744868637738,1744868638414,30,CanvasP,CanvasP,True
1744868638927,1744868640512,1744868641956,0,CanvasP,CanvasP,True
1744868642467,1744868643556,1744868644165,-10,CanvasP,CanvasP,True
1744868644667,1744868645986,1744868647942,30,CanvasB,CanvasB,True
1744868648451,1744868650128,1744868650860,-20,CanvasP,CanvasP,True
1744868651377,1744868652725,1744868653444,10,CanvasB,CanvasB,True
1744868653946,1744868655532,1744868656369,0,CanvasB,CanvasB,True
1744868656879,1744868658483,1744868659119,20,CanvasP,CanvasP,True
1744868659631,1744868660538,1744868661397,10,CanvasB,CanvasB,True
1744868661908,1744868663126,1744868663752,20,CanvasP,CanvasP,True
1744868664266,1744868665919,1744868667253,30,CanvasE,CanvasE,True
1744868667765,1744868668917,1744868669583,10,CanvasE,CanvasE,True
1744868670095,1744868671638,1744868672344,-10,CanvasB,CanvasB,True
1744868672858,1744868674000,1744868674508,-10,CanvasB,CanvasB,True
1744868675022,1744868676550,1744868677239,30,CanvasP,CanvasP,True
1744868677748,1744868679394,1744868681115,30,CanvasE,CanvasE,True
1744868681617,1744868682819,1744868683553,-30,CanvasB,CanvasB,True
1744868684061,1744868684978,1744868685685,-20,CanvasB,CanvasB,True
1744868686193,1744868687698,1744868688258,10,CanvasE,CanvasE,True
1744868688765,1744868689953,1744868690608,-30,CanvasP,CanvasP,True
1744868691119,1744868692550,1744868693052,-10,CanvasE,CanvasE,True
1744868693565,1744868694574,1744868695214,-30,CanvasP,CanvasP,True
1744868695728,1744868697195,1744868697765,-10,CanvasB,CanvasB,True
1744868698273,1744868699068,1744868700170,30,CanvasB,CanvasB,True
1744868700684,1744868701427,1744868701987,-20,CanvasB,CanvasB,True
1744868702496,1744868704196,1744868704958,30,CanvasP,CanvasP,True
1744868705469,1744868706417,1744868707309,0,CanvasB,CanvasB,True
1744868707811,1744868709013,1744868709506,10,CanvasB,CanvasB,True
1744868710020,1744868711491,1744868712563,0,CanvasP,CanvasP,True
1744868713070,1744868714063,1744868714702,-20,CanvasP,CanvasP,True
1744868715216,1744868716473,1744868716900,-10,CanvasP,CanvasP,True
1744868717404,1744868718292,1744868718862,20,CanvasP,CanvasP,True
1744868719384,1744868721053,1744868721760,-10,CanvasB,CanvasB,True
