CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738268538535,1738268539368,1738268540157,0,CanvasB,CanvasB,True
1738268540667,1738268541446,1738268542091,-30,CanvasB,CanvasB,True
1738268542602,1738268543568,1738268544114,30,CanvasB,CanvasB,True
1738268544625,1738268545924,1738268546491,30,CanvasE,CanvasE,True
1738268547001,1738268548036,1738268548691,30,CanvasE,CanvasE,True
1738268549201,1738268550448,1738268551037,20,CanvasP,CanvasP,True
1738268551546,1738268552769,1738268553492,-10,CanvasP,CanvasP,True
1738268554001,1738268554879,1738268556147,30,CanvasE,CanvasE,True
1738268556657,1738268558202,1738268560347,0,CanvasP,CanvasP,True
1738268560857,1738268561758,1738268562270,20,CanvasB,CanvasB,True
1738268562779,1738268564258,1738268565170,-20,CanvasP,CanvasP,True
1738268565680,1738268566813,1738268567570,20,CanvasE,CanvasE,True
1738268568080,1738268569514,1738268570448,10,CanvasP,CanvasP,True
1738268570957,1738268572059,1738268572692,0,CanvasB,CanvasB,True
1738268573202,1738268574325,1738268576080,-30,CanvasB,CanvasB,True
1738268576591,1738268578014,1738268578724,-30,CanvasE,CanvasE,True
1738268579236,1738268580503,1738268581403,-20,CanvasP,CanvasP,True
1738268581914,1738268582792,1738268583626,-20,CanvasB,CanvasB,True
1738268584137,1738268585280,1738268585892,-10,CanvasB,CanvasB,True
1738268586402,1738268587514,1738268589637,-30,CanvasP,CanvasP,True
1738268590148,1738268591092,1738268592248,10,CanvasE,CanvasE,True
1738268592758,1738268593625,1738268594515,0,CanvasP,CanvasP,True
1738268595025,1738268595770,1738268596459,-20,CanvasE,CanvasE,True
1738268596971,1738268598603,1738268599227,-30,CanvasE,CanvasE,True
1738268599737,1738268600736,1738268601649,-20,CanvasB,CanvasB,True
1738268602158,1738268603447,1738268605215,0,CanvasB,CanvasB,True
1738268605725,1738268607158,1738268607771,-20,CanvasE,CanvasE,True
1738268608281,1738268609405,1738268609925,0,CanvasB,CanvasB,True
1738268610436,1738268611348,1738268611981,-10,CanvasP,CanvasP,True
1738268612492,1738268613914,1738268616227,-10,CanvasP,CanvasP,True
1738268616739,1738268617570,1738268618215,-30,CanvasE,CanvasE,True
1738268618725,1738268619837,1738268620449,20,CanvasP,CanvasP,True
1738268620958,1738268622448,1738268623026,10,CanvasP,CanvasP,True
1738268623538,1738268624326,1738268625039,10,CanvasE,CanvasE,True
1738268625548,1738268627038,1738268627604,-10,CanvasP,CanvasB,False
1738268628114,1738268629015,1738268629761,-10,CanvasP,CanvasP,True
1738268630270,1738268631858,1738268633027,-30,CanvasB,CanvasB,True
1738268633538,1738268634915,1738268635582,-20,CanvasE,CanvasE,True
1738268636093,1738268637437,1738268638550,-10,CanvasE,CanvasE,True
1738268639059,1738268640594,1738268641572,-20,CanvasB,CanvasB,True
1738268642081,1738268643313,1738268643973,-30,CanvasE,CanvasE,True
1738268644482,1738268646116,1738268646861,20,CanvasP,CanvasP,True
1738268647372,1738268648649,1738268649627,-20,CanvasB,CanvasB,True
1738268650137,1738268651604,1738268653560,-30,CanvasP,CanvasP,True
1738268654071,1738268654849,1738268656405,-20,CanvasB,CanvasB,True
1738268656915,1738268658294,1738268661227,-10,CanvasB,CanvasB,True
1738268661738,1738268662515,1738268663117,-10,CanvasP,CanvasP,True
1738268663627,1738268664472,1738268665272,0,CanvasP,CanvasP,True
1738268665782,1738268666516,1738268667063,-20,CanvasE,CanvasE,True
1738268667571,1738268669072,1738268669894,30,CanvasB,CanvasB,True
