CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738297900877,1738297902561,1738297903067,0,CanvasE,CanvasE,True
1738297903584,1738297904915,1738297905414,20,CanvasE,CanvasE,True
1738297905927,1738297907206,1738297907685,20,CanvasB,CanvasB,True
1738297908198,1738297909516,1738297910279,-10,CanvasP,CanvasP,True
1738297910793,1738297912095,1738297912611,30,CanvasP,CanvasP,True
1738297913127,1738297913925,1738297914482,-10,CanvasP,CanvasP,True
1738297915014,1738297915793,1738297916330,0,CanvasE,CanvasE,True
1738297916840,1738297918291,1738297918760,-30,CanvasB,CanvasE,False
1738297919281,1738297920805,1738297921665,-30,CanvasP,CanvasP,True
1738297922180,1738297923860,1738297924557,-20,CanvasE,CanvasE,True
1738297925061,1738297926713,1738297927370,10,CanvasB,CanvasB,True
1738297927877,1738297929057,1738297929587,0,CanvasB,CanvasB,True
1738297930101,1738297931137,1738297931637,20,CanvasB,CanvasB,True
1738297932139,1738297933735,1738297934427,-30,CanvasP,CanvasP,True
1738297934931,1738297936082,1738297936735,0,CanvasB,CanvasB,True
1738297937240,1738297938660,1738297939350,30,CanvasE,CanvasE,True
1738297939852,1738297941459,1738297942150,20,CanvasP,CanvasP,True
1738297942654,1738297943837,1738297944376,0,CanvasP,CanvasP,True
1738297944883,1738297946094,1738297946727,0,CanvasE,CanvasE,True
1738297947234,1738297948119,1738297948680,10,CanvasB,CanvasB,True
1738297949195,1738297950169,1738297950851,-20,CanvasB,CanvasB,True
1738297951353,1738297952439,1738297952991,-20,CanvasB,CanvasB,True
1738297953498,1738297954438,1738297954980,-10,CanvasB,CanvasB,True
1738297955487,1738297956561,1738297957005,0,CanvasE,CanvasE,True
1738297957515,1738297958286,1738297958980,-20,CanvasE,CanvasE,True
1738297959498,1738297960389,1738297960828,10,CanvasP,CanvasB,False
1738297961336,1738297962820,1738297963326,20,CanvasB,CanvasP,False
1738297963833,1738297964815,1738297965433,0,CanvasB,CanvasB,True
1738297965939,1738297967217,1738297967694,-30,CanvasE,CanvasE,True
1738297968213,1738297969290,1738297969850,30,CanvasP,CanvasP,True
1738297970369,1738297972054,1738297972617,-30,CanvasE,CanvasE,True
1738297973120,1738297974244,1738297974842,0,CanvasE,CanvasE,True
1738297975349,1738297976168,1738297976760,-10,CanvasB,CanvasB,True
1738297977273,1738297978686,1738297979341,0,CanvasP,CanvasP,True
1738297979863,1738297981178,1738297981761,30,CanvasE,CanvasE,True
1738297982274,1738297983797,1738297984477,30,CanvasB,CanvasB,True
1738297984983,1738297986102,1738297986742,20,CanvasP,CanvasP,True
1738297987253,1738297988977,1738297989684,20,CanvasP,CanvasP,True
1738297990190,1738297991039,1738297991500,20,CanvasP,CanvasP,True
1738297992015,1738297992994,1738297993537,0,CanvasP,CanvasP,True
1738297994050,1738297995254,1738297995753,-20,CanvasE,CanvasE,True
1738297996272,1738297997185,1738297997661,-30,CanvasE,CanvasE,True
1738297998177,1738297998978,1738297999530,20,CanvasB,CanvasB,True
1738298000051,1738298001116,1738298001643,-10,CanvasB,CanvasB,True
1738298002147,1738298003450,1738298004191,0,CanvasE,CanvasE,True
1738298004694,1738298005590,1738298006387,0,CanvasP,CanvasP,True
1738298006898,1738298008377,1738298008908,-10,CanvasB,CanvasE,False
1738298009412,1738298010236,1738298011109,-20,CanvasE,CanvasE,True
1738298011620,1738298012500,1738298013351,-30,CanvasP,CanvasP,True
1738298013856,1738298014970,1738298015481,-30,CanvasP,CanvasP,True
