CueShowTime,ObjShowTime,ReactionTime,Eccentricity,StimType,Guess,Correct
1738048715934,1738048716747,1738048718004,20,CanvasE,CanvasP,False
1738048718513,1738048720278,1738048721085,-20,CanvasE,CanvasP,False
1738048721596,1738048722935,1738048723509,0,CanvasE,CanvasP,False
1738048724010,1738048725185,1738048732983,-30,CanvasP,CanvasP,True
1738048733492,1738048734378,1738048735405,-30,CanvasB,CanvasE,False
1738048735909,1738048737564,1738048738269,10,CanvasP,CanvasP,True
1738048738781,1738048739620,1738048740505,-20,CanvasE,CanvasB,False
1738048741017,1738048741764,1738048742952,-30,CanvasP,CanvasP,True
1738048743465,1738048744754,1738048745379,0,CanvasE,CanvasB,False
1738048745892,1738048746624,1738048747376,0,CanvasB,CanvasE,False
1738048747884,1738048748858,1738048749729,-20,CanvasP,CanvasP,True
1738048750231,1738048751162,1738048752043,-20,CanvasE,CanvasB,False
1738048752547,1738048753882,1738048756019,0,CanvasP,CanvasP,True
1738048756527,1738048757789,1738048758735,10,CanvasE,CanvasB,False
1738048759243,1738048760870,1738048763118,10,CanvasE,CanvasB,False
1738048763625,1738048765261,1738048766304,-10,CanvasB,CanvasE,False
1738048766810,1738048768228,1738048768871,10,CanvasP,CanvasP,True
1738048769385,1738048770217,1738048770878,-30,CanvasB,CanvasE,False
1738048771391,1738048772265,1738048773098,-30,CanvasB,CanvasB,True
1738048773610,1738048774401,1738048774978,0,CanvasB,CanvasB,True
1738048775489,1738048776947,1738048777817,10,CanvasP,CanvasP,True
1738048778332,1738048779128,1738048780289,-10,CanvasE,CanvasE,True
1738048780803,1738048781781,1738048782397,10,CanvasE,CanvasE,True
1738048782901,1738048784529,1738048785142,-30,CanvasE,CanvasE,True
1738048785656,1738048786657,1738048787225,20,CanvasB,CanvasP,False
1738048787728,1738048789279,1738048790322,30,CanvasP,CanvasB,False
1738048790827,1738048792052,1738048792901,0,CanvasB,CanvasB,True
1738048793407,1738048794763,1738048795733,-10,CanvasP,CanvasP,True
1738048796241,1738048797439,1738048798014,20,CanvasP,CanvasP,True
1738048798520,1738048800149,1738048800814,0,CanvasP,CanvasP,True
1738048801323,1738048802403,1738048802951,0,CanvasE,CanvasB,False
1738048803456,1738048804285,1738048805287,30,CanvasE,CanvasB,False
1738048805790,1738048807386,1738048808205,-20,CanvasB,CanvasB,True
1738048808713,1738048809886,1738048810510,-20,CanvasB,CanvasB,True
1738048811018,1738048812528,1738048813104,-10,CanvasE,CanvasE,True
1738048813614,1738048815263,1738048816078,-20,CanvasB,CanvasB,True
1738048816582,1738048817891,1738048818636,-20,CanvasE,CanvasE,True
1738048819143,1738048820029,1738048820704,20,CanvasP,CanvasP,True
1738048821216,1738048822902,1738048824821,-10,CanvasB,CanvasB,True
1738048825333,1738048826356,1738048827020,0,CanvasE,CanvasE,True
1738048827525,1738048828534,1738048829056,-10,CanvasE,CanvasE,True
1738048829566,1738048830367,1738048830968,20,CanvasP,CanvasP,True
1738048831476,1738048832633,1738048833206,30,CanvasP,CanvasP,True
1738048833719,1738048834530,1738048835093,10,CanvasP,CanvasP,True
1738048835604,1738048837271,1738048838003,-30,CanvasE,CanvasE,True
1738048838506,1738048839977,1738048840661,0,CanvasP,CanvasP,True
1738048841165,1738048842122,1738048843048,-20,CanvasB,CanvasB,True
1738048843551,1738048844835,1738048845674,30,CanvasE,CanvasE,True
1738048846188,1738048846980,1738048847973,20,CanvasP,CanvasP,True
1738048848479,1738048849653,1738048850130,10,CanvasP,CanvasP,True
