CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1722461984599;NaN;NaN;INVALID;
1722461984604;NaN;NaN;INVALID;
1722461984609;NaN;NaN;INVALID;
1722461984614;NaN;NaN;INVALID;
1722461984619;NaN;NaN;INVALID;
1722461984624;NaN;NaN;INVALID;
1722461984629;NaN;NaN;INVALID;
1722461984634;NaN;NaN;INVALID;
1722461984639;NaN;NaN;INVALID;
1722461984644;NaN;NaN;INVALID;
1722461984649;NaN;NaN;INVALID;
1722461984654;NaN;NaN;INVALID;
1722461984659;NaN;NaN;INVALID;
1722461984664;NaN;NaN;INVALID;
1722461984669;NaN;NaN;INVALID;
1722461984674;NaN;NaN;INVALID;
1722461984679;NaN;NaN;INVALID;
1722461984684;NaN;NaN;INVALID;
1722461984689;NaN;NaN;INVALID;
1722461984694;NaN;NaN;INVALID;
1722461984699;NaN;NaN;INVALID;
1722461984704;NaN;NaN;INVALID;
1722461984709;NaN;NaN;INVALID;
1722461984714;NaN;NaN;INVALID;
1722461984719;NaN;NaN;INVALID;
1722461984724;NaN;NaN;INVALID;
1722461984729;NaN;NaN;INVALID;
1722461984734;NaN;NaN;INVALID;
1722461984739;NaN;NaN;INVALID;
1722461984744;NaN;NaN;INVALID;
1722461984749;NaN;NaN;INVALID;
1722461984754;NaN;NaN;INVALID;
1722461984759;NaN;NaN;INVALID;
1722461984764;NaN;NaN;INVALID;
1722461984769;NaN;NaN;INVALID;
1722461984774;NaN;NaN;INVALID;
1722461984779;NaN;NaN;INVALID;
1722461984784;NaN;NaN;INVALID;
1722461984789;NaN;NaN;INVALID;
1722461984794;NaN;NaN;INVALID;
1722461984799;NaN;NaN;INVALID;
1722461984804;NaN;NaN;INVALID;
1722461984809;NaN;NaN;INVALID;
1722461984814;NaN;NaN;INVALID;
1722461984819;NaN;NaN;INVALID;
1722461984824;NaN;NaN;INVALID;
1722461984829;NaN;NaN;INVALID;
1722461984834;NaN;NaN;INVALID;
1722461984839;NaN;NaN;INVALID;
1722461984844;NaN;NaN;INVALID;
1722461984849;NaN;NaN;INVALID;
1722461984854;NaN;NaN;INVALID;
1722461984859;1.779723;0.852094;VALID;(0.031054, 0.014864, 0.999407)
1722461984864;1.871655;0.677691;VALID;(0.032658, 0.011821, 0.999397)
1722461984869;1.875430;0.671693;VALID;(0.032724, 0.011717, 0.999396)
1722461984874;1.868897;0.679254;VALID;(0.032610, 0.011849, 0.999398)
1722461984879;1.866036;0.685855;VALID;(0.032560, 0.011964, 0.999398)
1722461984884;1.871459;0.677132;VALID;(0.032655, 0.011812, 0.999397)
1722461984889;1.869387;0.674065;VALID;(0.032619, 0.011758, 0.999399)
1722461984894;1.853143;0.677559;VALID;(0.032336, 0.011819, 0.999407)
1722461984899;1.856436;0.668578;VALID;(0.032393, 0.011662, 0.999407)
1722461984904;1.843269;0.682097;VALID;(0.032163, 0.011898, 0.999412)
1722461984909;1.815832;0.700893;VALID;(0.031685, 0.012226, 0.999423)
1722461984914;1.806594;0.701715;VALID;(0.031523, 0.012241, 0.999428)
1722461984919;1.807461;0.704273;VALID;(0.031539, 0.012285, 0.999427)
1722461984924;1.820337;0.702837;VALID;(0.031763, 0.012260, 0.999420)
1722461984929;1.795213;0.697741;VALID;(0.031325, 0.012172, 0.999435)
1722461984934;1.783976;0.687589;VALID;(0.031129, 0.011995, 0.999443)
1722461984939;1.790738;0.699529;VALID;(0.031247, 0.012203, 0.999437)
1722461984944;1.792195;0.697063;VALID;(0.031272, 0.012160, 0.999437)
1722461984949;1.793435;0.680686;VALID;(0.031294, 0.011874, 0.999440)
1722461984954;1.771790;0.704264;VALID;(0.030916, 0.012286, 0.999447)
