CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1738197494261;7.770584;6.216203;VALID;(0.134426, 0.107298, 0.985097)
1738197494266;7.746183;6.519634;VALID;(0.133929, 0.112521, 0.984582)
1738197494271;7.731475;6.070050;VALID;(0.133790, 0.104794, 0.985454)
1738197494276;7.594110;6.745766;VALID;(0.131255, 0.116448, 0.984486)
1738197494281;7.653303;6.471782;VALID;(0.132345, 0.111722, 0.984887)
1738197494286;7.793402;6.652261;VALID;(0.134705, 0.114787, 0.984215)
1738197494291;7.516462;5.711277;VALID;(0.130173, 0.098669, 0.986570)
1738197494296;4.525779;7.566495;VALID;(0.078225, 0.131273, 0.988255)
1738197494301;4.598838;7.129052;VALID;(0.079563, 0.123711, 0.989124)
1738197494306;4.612430;7.636243;VALID;(0.079707, 0.132461, 0.987978)
1738197494311;4.065905;6.800315;VALID;(0.070408, 0.118116, 0.990501)
1738197494316;3.766762;6.520868;VALID;(0.065272, 0.113323, 0.991412)
1738197494321;3.640217;6.419491;VALID;(0.063095, 0.111584, 0.991750)
1738197494326;3.532134;6.517414;VALID;(0.061212, 0.113292, 0.991674)
1738197494331;3.480696;6.471427;VALID;(0.060327, 0.112502, 0.991819)
1738197494336;3.366919;6.377877;VALID;(0.058368, 0.110896, 0.992117)
1738197494341;3.233112;6.615490;VALID;(0.056024, 0.115025, 0.991782)
1738197494346;3.222736;6.657323;VALID;(0.055840, 0.115750, 0.991708)
1738197494351;3.035037;6.353715;VALID;(0.052622, 0.110513, 0.992481)
1738197494356;3.201070;6.150521;VALID;(0.055520, 0.106976, 0.992710)
1738197494361;3.153056;6.160663;VALID;(0.054687, 0.107156, 0.992737)
1738197494366;3.143762;5.984746;VALID;(0.054543, 0.104109, 0.993069)
1738197494371;3.189680;6.244083;VALID;(0.055313, 0.108598, 0.992546)
1738197494376;2.944839;5.854076;VALID;(0.051107, 0.101862, 0.993485)
1738197494381;2.900914;5.914929;VALID;(0.050340, 0.102921, 0.993415)
1738197494386;2.671329;5.856704;VALID;(0.046364, 0.101931, 0.993711)
1738197494391;2.472581;5.897904;VALID;(0.042913, 0.102662, 0.993790)
1738197494396;2.472307;5.826668;VALID;(0.042914, 0.101426, 0.993917)
1738197494401;2.528038;5.769816;VALID;(0.043885, 0.100435, 0.993975)
1738197494406;2.536500;5.672538;VALID;(0.044040, 0.098747, 0.994138)
1738197494411;2.590321;5.611249;VALID;(0.044978, 0.097679, 0.994201)
1738197494416;2.565877;5.537773;VALID;(0.044560, 0.096406, 0.994344)
1738197494421;2.682864;5.571420;VALID;(0.046587, 0.096981, 0.994195)
1738197494426;2.697923;5.509727;VALID;(0.046853, 0.095909, 0.994287)
1738197494431;2.717866;5.506584;VALID;(0.047200, 0.095853, 0.994276)
1738197494436;2.702935;5.429803;VALID;(0.046946, 0.094522, 0.994415)
1738197494441;2.655442;5.268607;VALID;(0.046134, 0.091727, 0.994715)
1738197494446;2.588490;4.820725;VALID;(0.045003, 0.083953, 0.995453)
1738197494451;2.648660;4.805436;VALID;(0.046049, 0.083684, 0.995428)
1738197494456;2.334240;4.847786;VALID;(0.040583, 0.084439, 0.995602)
1738197494461;2.426657;5.010575;VALID;(0.042179, 0.087262, 0.995292)
1738197494466;2.389839;4.817685;VALID;(0.041551, 0.083913, 0.995606)
1738197494471;2.338364;4.817286;VALID;(0.040657, 0.083909, 0.995644)
1738197494476;2.321863;4.596625;VALID;(0.040383, 0.080075, 0.995971)
1738197494481;2.398975;4.298054;VALID;(0.041740, 0.074880, 0.996319)
1738197494486;2.398116;4.599677;VALID;(0.041708, 0.080124, 0.995912)
1738197494491;2.349664;4.339364;VALID;(0.040881, 0.075601, 0.996300)
1738197494496;2.422873;3.904123;VALID;(0.042177, 0.068027, 0.996792)
1738197494501;2.476558;3.938739;VALID;(0.043109, 0.068626, 0.996711)
1738197494506;2.646528;4.338427;VALID;(0.046042, 0.075567, 0.996077)
1738197494511;2.917076;1.226988;VALID;(0.050879, 0.021386, 0.998476)
1738197494516;1.724921;4.710321;VALID;(0.029999, 0.082081, 0.996174)
1738197494521;1.717964;4.253819;VALID;(0.029897, 0.074142, 0.996800)
1738197494526;0.788797;2.505098;VALID;(0.013754, 0.043704, 0.998950)
1738197494531;1.002090;1.866757;VALID;(0.017480, 0.032570, 0.999317)
1738197494536;-0.116088;-2.171347;VALID;(-0.002025, -0.037888, 0.999280)
1738197494541;1.087684;-0.592874;VALID;(0.018982, -0.010346, 0.999766)
1738197494546;0.239621;-3.550975;VALID;(0.004174, -0.061936, 0.998071)
1738197494551;0.327652;-3.313306;VALID;(0.005709, -0.057795, 0.998312)
1738197494556;2.535925;-4.922447;VALID;(0.044083, -0.085724, 0.995343)
1738197494561;0.375623;-6.161864;VALID;(0.006518, -0.107335, 0.994202)
1738197494566;-1.149976;-6.230791;VALID;(-0.019951, -0.108512, 0.993895)
1738197494571;-1.387792;-2.991151;VALID;(-0.024186, -0.052166, 0.998346)
1738197494576;-0.262442;-8.548344;VALID;(-0.004530, -0.148642, 0.988881)
1738197494581;NaN;NaN;INVALID;
1738197494586;1.797494;-8.905801;VALID;(0.030989, -0.154736, 0.987470)
1738197494591;2.251490;-4.101696;VALID;(0.039185, -0.071472, 0.996673)
1738197494596;0.657547;-0.014799;VALID;(0.011476, -0.000258, 0.999934)
1738197494601;1.297490;-4.588071;VALID;(0.022571, -0.079971, 0.996542)
1738197494606;0.647859;-8.283819;VALID;(0.011189, -0.144068, 0.989505)
1738197494611;NaN;NaN;INVALID;
1738197494616;1.201737;1.302522;VALID;(0.020967, 0.022726, 0.999522)
1738197494621;5.874757;-6.882800;VALID;(0.101624, -0.119218, 0.987654)
1738197494626;0.516358;-6.313894;VALID;(0.008957, -0.109971, 0.993895)
1738197494631;2.133743;-1.721126;VALID;(0.037215, -0.030014, 0.998856)
1738197494636;1.544156;-1.197208;VALID;(0.026941, -0.020886, 0.999419)
1738197494641;-0.190324;-0.949956;VALID;(-0.003321, -0.016579, 0.999857)
1738197494646;1.365959;0.128663;VALID;(0.023838, 0.002245, 0.999713)
1738197494651;1.403458;-0.085809;VALID;(0.024492, -0.001497, 0.999699)
1738197494656;2.024261;-1.989167;VALID;(0.035301, -0.034689, 0.998775)
1738197494661;1.231667;-0.908273;VALID;(0.021492, -0.015848, 0.999643)
1738197494666;-0.620584;-0.086449;VALID;(-0.010831, -0.001509, 0.999940)
1738197494671;-0.625437;-3.805764;VALID;(-0.010892, -0.066370, 0.997736)
1738197494676;-0.461968;-3.209434;VALID;(-0.008050, -0.055984, 0.998399)
1738197494681;-0.330689;-2.903753;VALID;(-0.005764, -0.050658, 0.998699)
1738197494686;-0.290563;-2.793043;VALID;(-0.005065, -0.048728, 0.998799)
1738197494691;-0.059964;-2.888019;VALID;(-0.001045, -0.050384, 0.998729)
1738197494696;1.470630;-0.667688;VALID;(0.025663, -0.011649, 0.999603)
1738197494701;1.687716;-0.786045;VALID;(0.029449, -0.013713, 0.999472)
1738197494706;1.671245;0.930376;VALID;(0.029161, 0.016231, 0.999443)
1738197494711;1.622777;1.010149;VALID;(0.028315, 0.017622, 0.999444)
1738197494716;1.860001;-0.173128;VALID;(0.032457, -0.003020, 0.999469)
1738197494721;1.300465;-1.019736;VALID;(0.022692, -0.017792, 0.999584)
1738197494726;1.300224;0.832226;VALID;(0.022689, 0.014521, 0.999637)
1738197494731;0.841102;0.300571;VALID;(0.014679, 0.005245, 0.999879)
1738197494736;1.374087;0.081526;VALID;(0.023980, 0.001422, 0.999712)
1738197494741;1.040546;-0.310390;VALID;(0.018160, -0.005416, 0.999820)
1738197494746;0.996677;-0.439069;VALID;(0.017394, -0.007662, 0.999819)
1738197494751;1.373540;-0.114617;VALID;(0.023970, -0.002000, 0.999711)
1738197494756;-0.177288;-2.866775;VALID;(-0.003090, -0.050014, 0.998744)
1738197494761;0.190476;-0.952946;VALID;(0.003324, -0.016631, 0.999856)
1738197494766;1.038101;0.801058;VALID;(0.018116, 0.013978, 0.999738)
1738197494771;1.073528;0.888622;VALID;(0.018733, 0.015506, 0.999704)
1738197494776;1.336881;0.761409;VALID;(0.023329, 0.013285, 0.999640)
1738197494781;1.182118;1.099885;VALID;(0.020627, 0.019191, 0.999603)
1738197494786;1.274749;0.963299;VALID;(0.022244, 0.016808, 0.999611)
1738197494791;1.260765;0.994690;VALID;(0.021999, 0.017356, 0.999607)
1738197494796;1.314820;1.084881;VALID;(0.022942, 0.018929, 0.999558)
1738197494801;1.369426;1.029204;VALID;(0.023895, 0.017957, 0.999553)
1738197494806;1.393772;1.005607;VALID;(0.024320, 0.017545, 0.999550)
1738197494811;0.953700;0.957138;VALID;(0.016642, 0.016702, 0.999722)
1738197494816;1.389303;0.833557;VALID;(0.024243, 0.014544, 0.999600)
1738197494821;1.393011;0.771463;VALID;(0.024308, 0.013460, 0.999614)
1738197494826;1.379781;0.702660;VALID;(0.024078, 0.012260, 0.999635)
1738197494831;0.842486;0.067081;VALID;(0.014704, 0.001171, 0.999891)
1738197494836;1.165196;0.281168;VALID;(0.020335, 0.004906, 0.999781)
1738197494841;1.148377;0.187647;VALID;(0.020042, 0.003274, 0.999794)
1738197494846;0.761819;-0.060257;VALID;(0.013296, -0.001052, 0.999911)
1738197494851;0.463829;0.380921;VALID;(0.008095, 0.006648, 0.999945)
1738197494856;0.931432;0.026686;VALID;(0.016256, 0.000466, 0.999868)
1738197494861;0.586015;0.149975;VALID;(0.010228, 0.002617, 0.999944)
1738197494866;0.557395;0.085178;VALID;(0.009728, 0.001487, 0.999952)
1738197494871;0.550558;0.160631;VALID;(0.009609, 0.002803, 0.999950)
1738197494876;0.524861;0.259342;VALID;(0.009160, 0.004526, 0.999948)
1738197494881;0.546498;0.347682;VALID;(0.009538, 0.006068, 0.999936)
1738197494886;1.074682;0.411537;VALID;(0.018755, 0.007181, 0.999798)
1738197494891;0.707190;0.757136;VALID;(0.012341, 0.013213, 0.999837)
1738197494896;0.641630;0.625942;VALID;(0.011198, 0.010924, 0.999878)
1738197494901;0.614043;0.539702;VALID;(0.010716, 0.009419, 0.999898)
1738197494906;0.611982;0.449880;VALID;(0.010681, 0.007851, 0.999912)
1738197494911;0.599715;0.391811;VALID;(0.010467, 0.006838, 0.999922)
1738197494916;0.589106;0.342579;VALID;(0.010281, 0.005979, 0.999929)
1738197494921;0.544125;0.200874;VALID;(0.009497, 0.003506, 0.999949)
1738197494926;0.507158;0.132163;VALID;(0.008851, 0.002307, 0.999958)
1738197494931;0.472546;0.113134;VALID;(0.008247, 0.001974, 0.999964)
1738197494936;0.369231;-0.083501;VALID;(0.006444, -0.001457, 0.999978)
1738197494941;0.318176;-0.219330;VALID;(0.005553, -0.003828, 0.999977)
1738197494946;0.340565;-0.336537;VALID;(0.005944, -0.005874, 0.999965)
1738197494951;0.333222;-0.373087;VALID;(0.005816, -0.006511, 0.999962)
1738197494956;0.354484;-0.451893;VALID;(0.006187, -0.007887, 0.999950)
1738197494961;0.334468;-0.639676;VALID;(0.005837, -0.011164, 0.999921)
1738197494966;0.327844;-0.623066;VALID;(0.005722, -0.010874, 0.999925)
1738197494971;0.333949;-0.587295;VALID;(0.005828, -0.010250, 0.999931)
1738197494976;0.334869;-0.614619;VALID;(0.005844, -0.010727, 0.999925)
1738197494981;0.340689;-0.646014;VALID;(0.005946, -0.011275, 0.999919)
1738197494986;0.344379;-0.614870;VALID;(0.006010, -0.010731, 0.999924)
1738197494991;0.373676;-0.605932;VALID;(0.006521, -0.010575, 0.999923)
1738197494996;0.393152;-0.600256;VALID;(0.006861, -0.010476, 0.999922)
1738197495001;0.371310;-0.506928;VALID;(0.006480, -0.008847, 0.999940)
1738197495006;0.370846;-0.484792;VALID;(0.006472, -0.008461, 0.999943)
1738197495011;0.388587;-0.541275;VALID;(0.006782, -0.009447, 0.999932)
1738197495016;0.333064;-0.651003;VALID;(0.005813, -0.011362, 0.999919)
1738197495021;0.344736;-0.703862;VALID;(0.006016, -0.012284, 0.999906)
1738197495026;0.313341;-0.841977;VALID;(0.005468, -0.014695, 0.999877)
1738197495031;0.262334;-0.873755;VALID;(0.004578, -0.015249, 0.999873)
1738197495036;0.279091;-0.837032;VALID;(0.004871, -0.014608, 0.999881)
1738197495041;0.293969;-0.808569;VALID;(0.005130, -0.014112, 0.999887)
1738197495046;0.309013;-0.705287;VALID;(0.005393, -0.012309, 0.999910)
1738197495051;0.325683;-0.692608;VALID;(0.005684, -0.012088, 0.999911)
1738197495056;0.313155;-0.830870;VALID;(0.005465, -0.014501, 0.999880)
1738197495061;0.270038;-0.929824;VALID;(0.004712, -0.016228, 0.999857)
1738197495066;0.230435;-1.031326;VALID;(0.004021, -0.017999, 0.999830)
1738197495071;0.216832;-1.059057;VALID;(0.003784, -0.018483, 0.999822)
1738197495076;0.290770;-1.115587;VALID;(0.005074, -0.019469, 0.999798)
1738197495081;0.273949;-1.074104;VALID;(0.004780, -0.018745, 0.999813)
1738197495086;0.232853;-1.061412;VALID;(0.004063, -0.018524, 0.999820)
1738197495091;0.292445;-1.084422;VALID;(0.005103, -0.018925, 0.999808)
1738197495096;0.167237;-1.173735;VALID;(0.002918, -0.020484, 0.999786)
1738197495101;0.230293;-1.248689;VALID;(0.004018, -0.021792, 0.999754)
1738197495106;0.213673;-1.216140;VALID;(0.003728, -0.021224, 0.999768)
1738197495111;0.246315;-0.972630;VALID;(0.004298, -0.016975, 0.999847)
1738197495116;0.175955;-0.909757;VALID;(0.003071, -0.015878, 0.999869)
1738197495121;0.244151;-0.941521;VALID;(0.004261, -0.016432, 0.999856)
1738197495126;0.260734;-0.918708;VALID;(0.004550, -0.016034, 0.999861)
1738197495131;0.250911;-0.992851;VALID;(0.004379, -0.017327, 0.999840)
1738197495136;0.238202;-1.009024;VALID;(0.004157, -0.017610, 0.999836)
1738197495141;0.252680;-1.031777;VALID;(0.004409, -0.018007, 0.999828)
1738197495146;0.241697;-1.058272;VALID;(0.004218, -0.018469, 0.999821)
1738197495151;0.216880;-1.071325;VALID;(0.003785, -0.018697, 0.999818)
1738197495156;0.209670;-1.088855;VALID;(0.003659, -0.019003, 0.999813)
1738197495161;0.188346;-1.134367;VALID;(0.003287, -0.019797, 0.999799)
1738197495166;0.155563;-1.218794;VALID;(0.002714, -0.021270, 0.999770)
1738197495171;0.139112;-1.214297;VALID;(0.002427, -0.021192, 0.999773)
1738197495176;0.130661;-1.251306;VALID;(0.002280, -0.021838, 0.999759)
1738197495181;0.148407;-1.238058;VALID;(0.002590, -0.021606, 0.999763)
1738197495186;0.144637;-1.270512;VALID;(0.002524, -0.022173, 0.999751)
1738197495191;0.130907;-1.218858;VALID;(0.002284, -0.021271, 0.999771)
1738197495196;0.148123;-1.134495;VALID;(0.002585, -0.019799, 0.999801)
1738197495201;0.166557;-1.121545;VALID;(0.002906, -0.019573, 0.999804)
1738197495206;0.186334;-1.167126;VALID;(0.003251, -0.020369, 0.999787)
1738197495211;0.228692;-1.202170;VALID;(0.003991, -0.020980, 0.999772)
1738197495216;0.264184;-1.167439;VALID;(0.004610, -0.020374, 0.999782)
1738197495221;0.266779;-1.227001;VALID;(0.004655, -0.021413, 0.999760)
1738197495226;0.241332;-1.323173;VALID;(0.004211, -0.023091, 0.999725)
1738197495231;0.235892;-1.380726;VALID;(0.004116, -0.024096, 0.999701)
1738197495236;0.236897;-1.419985;VALID;(0.004133, -0.024781, 0.999684)
1738197495241;0.237357;-1.443857;VALID;(0.004141, -0.025197, 0.999674)
1738197495246;0.245119;-1.396860;VALID;(0.004277, -0.024377, 0.999694)
1738197495251;0.259487;-1.358840;VALID;(0.004528, -0.023714, 0.999709)
1738197495256;0.257587;-1.303602;VALID;(0.004495, -0.022750, 0.999731)
1738197495261;0.240273;-1.315898;VALID;(0.004192, -0.022965, 0.999728)
1738197495266;0.235902;-1.269203;VALID;(0.004116, -0.022150, 0.999746)
1738197495271;0.220398;-1.273561;VALID;(0.003846, -0.022226, 0.999746)
1738197495276;0.187544;-1.403143;VALID;(0.003272, -0.024487, 0.999695)
1738197495281;0.185482;-1.400351;VALID;(0.003236, -0.024438, 0.999696)
