CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1739395646492;0.262960;0.596741;VALID;(0.004589, 0.010415, 0.999935)
1739395646497;0.271565;0.595224;VALID;(0.004739, 0.010388, 0.999935)
1739395646502;0.214522;0.586606;VALID;(0.003744, 0.010238, 0.999941)
1739395646507;0.266355;0.600765;VALID;(0.004648, 0.010485, 0.999934)
1739395646512;0.251160;0.612739;VALID;(0.004383, 0.010694, 0.999933)
1739395646517;0.298643;0.625462;VALID;(0.005212, 0.010916, 0.999927)
1739395646522;0.311925;0.621454;VALID;(0.005444, 0.010846, 0.999926)
1739395646527;0.312045;0.618829;VALID;(0.005446, 0.010800, 0.999927)
1739395646532;0.303199;0.643583;VALID;(0.005291, 0.011232, 0.999923)
1739395646537;0.230112;0.643738;VALID;(0.004016, 0.011235, 0.999929)
1739395646542;0.258013;0.668628;VALID;(0.004503, 0.011669, 0.999922)
1739395646547;-0.075990;0.801310;VALID;(-0.001326, 0.013985, 0.999901)
1739395646552;-0.727197;0.874119;VALID;(-0.012690, 0.015254, 0.999803)
1739395646557;-1.345999;0.765873;VALID;(-0.023488, 0.013363, 0.999635)
1739395646562;-1.722032;0.785415;VALID;(-0.030048, 0.013701, 0.999455)
1739395646567;-1.951191;0.792607;VALID;(-0.034045, 0.013825, 0.999325)
1739395646572;-2.130832;0.830990;VALID;(-0.037178, 0.014493, 0.999204)
1739395646577;-2.211471;0.867957;VALID;(-0.038583, 0.015137, 0.999141)
1739395646582;-2.250055;0.882098;VALID;(-0.039256, 0.015383, 0.999111)
1739395646587;-2.286578;0.900287;VALID;(-0.039893, 0.015700, 0.999081)
1739395646592;-2.327196;0.908210;VALID;(-0.040601, 0.015838, 0.999050)
1739395646597;-2.313495;0.936290;VALID;(-0.040362, 0.016327, 0.999052)
1739395646602;-2.344769;0.929432;VALID;(-0.040907, 0.016207, 0.999032)
1739395646607;-2.357543;0.932713;VALID;(-0.041130, 0.016264, 0.999021)
1739395646612;-2.378534;0.922559;VALID;(-0.041496, 0.016087, 0.999009)
1739395646617;-2.393516;0.922525;VALID;(-0.041757, 0.016086, 0.998998)
1739395646622;-2.439660;0.981798;VALID;(-0.042561, 0.017119, 0.998947)
1739395646627;-2.430855;0.920303;VALID;(-0.042408, 0.016047, 0.998972)
1739395646632;-2.443585;0.942097;VALID;(-0.042630, 0.016427, 0.998956)
1739395646637;-2.455504;0.943872;VALID;(-0.042838, 0.016458, 0.998947)
1739395646642;-2.473262;0.985773;VALID;(-0.043147, 0.017188, 0.998921)
1739395646647;-2.482385;1.001848;VALID;(-0.043306, 0.017468, 0.998909)
1739395646652;-2.475330;0.953899;VALID;(-0.043183, 0.016632, 0.998929)
