CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1738699746599;8.253072;9.493127;VALID;(0.141620, 0.163267, 0.976365)
1738699746604;8.245659;9.490682;VALID;(0.141494, 0.163228, 0.976389)
1738699746609;8.345933;9.384957;VALID;(0.143247, 0.161385, 0.976440)
1738699746614;8.506195;9.009478;VALID;(0.146131, 0.154917, 0.977060)
1738699746619;8.536028;8.983576;VALID;(0.146650, 0.154463, 0.977054)
1738699746624;8.506315;9.161839;VALID;(0.146072, 0.157516, 0.976653)
1738699746629;8.545074;8.911694;VALID;(0.146833, 0.153233, 0.977221)
1738699746634;8.536571;8.900463;VALID;(0.146692, 0.153045, 0.977271)
1738699746639;8.570438;8.868807;VALID;(0.147282, 0.152491, 0.977269)
1738699746644;8.537506;9.071408;VALID;(0.146640, 0.155961, 0.976818)
1738699746649;8.594024;8.822997;VALID;(0.147703, 0.151700, 0.977329)
1738699746654;8.551834;8.804922;VALID;(0.146990, 0.151408, 0.977481)
1738699746659;8.665776;7.922975;VALID;(0.149264, 0.136298, 0.979359)
1738699746664;6.119692;6.654814;VALID;(0.105896, 0.115236, 0.987678)
1738699746669;6.755742;7.090259;VALID;(0.116750, 0.122589, 0.985567)
1738699746674;5.063547;5.680580;VALID;(0.087831, 0.098600, 0.991244)
1738699746679;5.272840;5.674125;VALID;(0.091452, 0.098456, 0.990930)
1738699746684;4.768641;5.042949;VALID;(0.082813, 0.087601, 0.992708)
1738699746689;4.421091;4.909405;VALID;(0.076805, 0.085328, 0.993388)
1738699746694;2.721755;2.603205;VALID;(0.047437, 0.045368, 0.997843)
1738699746699;2.418743;2.107246;VALID;(0.042174, 0.036737, 0.998435)
1738699746704;2.060315;1.469291;VALID;(0.035940, 0.025625, 0.999025)
1738699746709;1.607934;1.000763;VALID;(0.028056, 0.017459, 0.999454)
1738699746714;1.084837;0.447837;VALID;(0.018932, 0.007815, 0.999790)
1738699746719;0.869003;0.227568;VALID;(0.015166, 0.003971, 0.999877)
1738699746724;0.720105;0.107021;VALID;(0.012568, 0.001868, 0.999919)
1738699746729;0.594966;0.012619;VALID;(0.010384, 0.000220, 0.999946)
1738699746734;0.638298;-0.149595;VALID;(0.011140, -0.002611, 0.999935)
1738699746739;0.522712;-0.251316;VALID;(0.009123, -0.004386, 0.999949)
1738699746744;0.427815;-0.351166;VALID;(0.007467, -0.006129, 0.999953)
1738699746749;0.351681;-0.405501;VALID;(0.006138, -0.007077, 0.999956)
1738699746754;0.292165;-0.473960;VALID;(0.005099, -0.008272, 0.999953)
1738699746759;0.231543;-0.534211;VALID;(0.004041, -0.009324, 0.999948)
1738699746764;0.179066;-0.577519;VALID;(0.003125, -0.010079, 0.999944)
1738699746769;0.139025;-0.603076;VALID;(0.002426, -0.010525, 0.999942)
1738699746774;0.091933;-0.635638;VALID;(0.001604, -0.011094, 0.999937)
1738699746779;0.064974;-0.674741;VALID;(0.001134, -0.011776, 0.999930)
1738699746784;0.005910;-0.756444;VALID;(0.000103, -0.013202, 0.999913)
1738699746789;0.081114;-0.801608;VALID;(0.001416, -0.013990, 0.999901)
