CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1738296693827;0.623471;-1.211451;VALID;(0.010879, -0.021141, 0.999717)
1738296693832;0.545184;-1.127251;VALID;(0.009513, -0.019672, 0.999761)
1738296693837;0.546795;-1.093994;VALID;(0.009541, -0.019092, 0.999772)
1738296693842;0.583650;-0.963283;VALID;(0.010185, -0.016811, 0.999807)
1738296693847;-0.292469;-1.039886;VALID;(-0.005104, -0.018148, 0.999822)
1738296693852;-0.808478;-0.854458;VALID;(-0.014109, -0.014911, 0.999789)
1738296693857;-1.323046;-0.814300;VALID;(-0.023087, -0.014208, 0.999633)
1738296693862;-1.893213;-1.210461;VALID;(-0.033029, -0.021113, 0.999231)
1738296693867;-2.004204;-1.250758;VALID;(-0.034965, -0.021815, 0.999151)
1738296693872;-2.041727;-1.373209;VALID;(-0.035617, -0.023950, 0.999079)
1738296693877;-2.131078;-1.461406;VALID;(-0.037174, -0.025486, 0.998984)
1738296693882;-2.137733;-1.580976;VALID;(-0.037288, -0.027571, 0.998924)
1738296693887;-2.164859;-1.496522;VALID;(-0.037762, -0.026098, 0.998946)
1738296693892;-2.129030;-1.401893;VALID;(-0.037139, -0.024448, 0.999011)
1738296693897;-2.114852;-1.407918;VALID;(-0.036892, -0.024554, 0.999018)
1738296693902;-2.066225;-1.281522;VALID;(-0.036046, -0.022350, 0.999100)
1738296693907;-2.018786;-1.292139;VALID;(-0.035218, -0.022536, 0.999126)
1738296693912;-1.966606;-1.187474;VALID;(-0.034310, -0.020712, 0.999197)
1738296693917;-1.988152;-1.168285;VALID;(-0.034686, -0.020377, 0.999191)
1738296693922;-2.060343;-1.102328;VALID;(-0.035945, -0.019226, 0.999169)
1738296693928;-1.993177;-1.120751;VALID;(-0.034774, -0.019548, 0.999204)
1738296693933;-2.037142;-1.080602;VALID;(-0.035541, -0.018847, 0.999191)
1738296693938;-2.096167;-1.049043;VALID;(-0.036571, -0.018296, 0.999164)
1738296693943;-2.261443;-1.219323;VALID;(-0.039450, -0.021263, 0.998995)
1738296693948;-2.111849;-1.144634;VALID;(-0.036843, -0.019963, 0.999122)
1738296693953;-2.186684;-1.017436;VALID;(-0.038150, -0.017744, 0.999115)
1738296693958;-2.133616;-0.989365;VALID;(-0.037224, -0.017255, 0.999158)
1738296693963;-2.101652;-1.029725;VALID;(-0.036667, -0.017959, 0.999166)
1738296693968;-2.105456;-0.999213;VALID;(-0.036733, -0.017427, 0.999173)
1738296693973;-2.116959;-0.912946;VALID;(-0.036935, -0.015922, 0.999191)
1738296693978;-2.152019;-0.870302;VALID;(-0.037547, -0.015178, 0.999180)
1738296693983;-2.184503;-0.966118;VALID;(-0.038112, -0.016849, 0.999131)
1738296693988;-2.200489;-0.883635;VALID;(-0.038392, -0.015410, 0.999144)
1738296693993;-2.252307;-0.847071;VALID;(-0.039296, -0.014772, 0.999118)
1738296693998;-2.321401;-0.788974;VALID;(-0.040501, -0.013758, 0.999085)
1738296694003;-2.336725;-0.651183;VALID;(-0.040770, -0.011356, 0.999104)
1738296694008;-2.286816;-0.612545;VALID;(-0.039900, -0.010682, 0.999147)
1738296694013;-2.287351;-0.524442;VALID;(-0.039910, -0.009146, 0.999161)
1738296694018;-2.303108;-0.449261;VALID;(-0.040185, -0.007835, 0.999162)
1738296694023;-2.305689;-0.462866;VALID;(-0.040230, -0.008072, 0.999158)
1738296694028;-2.315310;-0.618546;VALID;(-0.040396, -0.010787, 0.999126)
1738296694033;-2.287355;-0.497314;VALID;(-0.039910, -0.008673, 0.999166)
1738296694038;-2.291727;-0.469511;VALID;(-0.039986, -0.008188, 0.999167)
1738296694043;-2.317778;-0.517421;VALID;(-0.040440, -0.009023, 0.999141)
1738296694048;-2.314619;-0.378183;VALID;(-0.040386, -0.006595, 0.999162)
1738296694053;-2.339429;-0.419242;VALID;(-0.040818, -0.007311, 0.999140)
1738296694058;-2.318514;-0.269001;VALID;(-0.040454, -0.004691, 0.999170)
1738296694063;-2.336764;-0.155797;VALID;(-0.040773, -0.002717, 0.999165)
1738296694068;-2.296032;-0.079714;VALID;(-0.040063, -0.001390, 0.999196)
1738296694073;-2.294738;0.026096;VALID;(-0.040040, 0.000455, 0.999198)
1738296694078;-2.354721;0.080994;VALID;(-0.041086, 0.001412, 0.999155)
1738296694083;-2.337501;0.166102;VALID;(-0.040786, 0.002897, 0.999164)
1738296694088;-2.388960;0.142895;VALID;(-0.041683, 0.002492, 0.999128)
1738296694093;-2.407351;0.174842;VALID;(-0.042004, 0.003049, 0.999113)
1738296694098;-2.408008;0.184027;VALID;(-0.042015, 0.003209, 0.999112)
1738296694103;-2.400895;0.236640;VALID;(-0.041891, 0.004127, 0.999114)
1738296694108;-2.451806;0.221483;VALID;(-0.042779, 0.003862, 0.999077)
1738296694113;-2.467475;0.166360;VALID;(-0.043052, 0.002901, 0.999069)
1738296694118;-2.460650;-0.026294;VALID;(-0.042933, -0.000458, 0.999078)
1738296694123;-2.495653;-0.086831;VALID;(-0.043544, -0.001514, 0.999050)
