CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1738017453190;-0.070361;0.039267;VALID;(-0.001228, 0.000685, 0.999999)
1738017453195;-0.047534;0.103983;VALID;(-0.000830, 0.001815, 0.999998)
1738017453200;0.005724;0.281326;VALID;(0.000100, 0.004910, 0.999988)
1738017453205;0.044708;0.373658;VALID;(0.000780, 0.006522, 0.999978)
1738017453210;0.082770;0.437085;VALID;(0.001445, 0.007628, 0.999970)
1738017453215;0.155431;0.525941;VALID;(0.002713, 0.009179, 0.999954)
1738017453220;0.194386;0.582370;VALID;(0.003393, 0.010164, 0.999943)
1738017453225;0.197809;0.618663;VALID;(0.003452, 0.010797, 0.999936)
1738017453230;0.207326;0.679146;VALID;(0.003618, 0.011853, 0.999923)
1738017453235;0.182202;0.727305;VALID;(0.003180, 0.012693, 0.999914)
1738017453240;0.228899;0.761624;VALID;(0.003995, 0.013292, 0.999904)
1738017453245;0.256657;0.765909;VALID;(0.004479, 0.013367, 0.999901)
1738017453250;0.250867;0.805556;VALID;(0.004378, 0.014059, 0.999892)
1738017453255;0.245651;0.787904;VALID;(0.004287, 0.013751, 0.999896)
1738017453260;0.257663;0.806561;VALID;(0.004497, 0.014077, 0.999891)
1738017453265;0.241706;0.833170;VALID;(0.004218, 0.014541, 0.999885)
1738017453270;0.214233;0.955850;VALID;(0.003739, 0.016682, 0.999854)
1738017453275;0.215171;0.992913;VALID;(0.003755, 0.017329, 0.999843)
1738017453280;0.222148;1.006832;VALID;(0.003877, 0.017571, 0.999838)
1738017453285;0.224864;1.012345;VALID;(0.003924, 0.017668, 0.999836)
1738017453290;0.223014;1.034639;VALID;(0.003892, 0.018057, 0.999829)
1738017453295;0.241551;0.950674;VALID;(0.004215, 0.016591, 0.999854)
1738017453300;0.288272;0.993936;VALID;(0.005031, 0.017346, 0.999837)
1738017453305;0.315450;0.976724;VALID;(0.005505, 0.017046, 0.999840)
1738017453310;0.282531;1.001042;VALID;(0.004930, 0.017470, 0.999835)
1738017453315;0.307922;0.993509;VALID;(0.005373, 0.017339, 0.999835)
1738017453320;0.310774;1.031834;VALID;(0.005423, 0.018008, 0.999823)
1738017453325;0.319690;1.042077;VALID;(0.005579, 0.018186, 0.999819)
1738017453330;0.278493;1.056648;VALID;(0.004860, 0.018441, 0.999818)
1738017453335;0.310970;0.982976;VALID;(0.005427, 0.017155, 0.999838)
1738017453340;0.320413;1.019832;VALID;(0.005591, 0.017798, 0.999826)
1738017453345;0.291292;1.028931;VALID;(0.005083, 0.017957, 0.999826)
1738017453350;0.284022;1.054854;VALID;(0.004956, 0.018409, 0.999818)
1738017453355;0.329792;1.001417;VALID;(0.005755, 0.017477, 0.999831)
1738017453360;0.288172;0.992800;VALID;(0.005029, 0.017327, 0.999837)
1738017453365;0.298224;0.991292;VALID;(0.005204, 0.017300, 0.999837)
1738017453370;0.290413;0.974280;VALID;(0.005068, 0.017003, 0.999843)
1738017453375;0.269119;0.929984;VALID;(0.004696, 0.016230, 0.999857)
1738017453380;0.245154;0.970283;VALID;(0.004278, 0.016934, 0.999848)
1738017453385;0.206111;0.953048;VALID;(0.003597, 0.016633, 0.999855)
1738017453390;0.230875;0.874494;VALID;(0.004029, 0.015262, 0.999875)
