CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1722461892125;0.062329;0.092490;VALID;(0.001088, 0.001614, 0.999998)
1722461892130;0.088017;0.035527;VALID;(0.001536, 0.000620, 0.999999)
1722461892135;0.099784;0.013984;VALID;(0.001742, 0.000244, 0.999999)
1722461892140;0.108202;-0.006477;VALID;(0.001888, -0.000113, 0.999998)
1722461892145;0.120324;-0.042648;VALID;(0.002100, -0.000744, 0.999998)
1722461892150;0.137777;-0.072946;VALID;(0.002405, -0.001273, 0.999996)
1722461892155;0.142907;-0.100299;VALID;(0.002494, -0.001751, 0.999995)
1722461892160;0.134885;-0.156319;VALID;(0.002354, -0.002728, 0.999994)
1722461892165;0.130726;-0.185674;VALID;(0.002282, -0.003241, 0.999992)
1722461892170;0.125435;-0.209484;VALID;(0.002189, -0.003656, 0.999991)
1722461892175;0.122213;-0.228168;VALID;(0.002133, -0.003982, 0.999990)
1722461892180;0.115850;-0.235559;VALID;(0.002022, -0.004111, 0.999990)
1722461892185;0.124044;-0.246727;VALID;(0.002165, -0.004306, 0.999988)
1722461892190;0.192571;-0.271548;VALID;(0.003361, -0.004739, 0.999983)
1722461892195;0.172700;-0.295819;VALID;(0.003014, -0.005163, 0.999982)
1722461892200;0.187504;-0.303931;VALID;(0.003273, -0.005305, 0.999981)
1722461892205;0.172569;-0.310282;VALID;(0.003012, -0.005415, 0.999981)
1722461892210;0.163630;-0.331858;VALID;(0.002856, -0.005792, 0.999979)
1722461892215;0.150798;-0.310801;VALID;(0.002632, -0.005424, 0.999982)
1722461892220;0.149468;-0.301575;VALID;(0.002609, -0.005263, 0.999983)
1722461892225;0.136110;-0.288684;VALID;(0.002376, -0.005038, 0.999985)
1722461892230;0.106140;-0.283744;VALID;(0.001852, -0.004952, 0.999986)
1722461892235;0.100656;-0.301215;VALID;(0.001757, -0.005257, 0.999985)
1722461892240;0.145596;-0.322287;VALID;(0.002541, -0.005625, 0.999981)
1722461892245;0.147902;-0.311831;VALID;(0.002581, -0.005442, 0.999982)
1722461892250;0.102483;-0.303013;VALID;(0.001789, -0.005289, 0.999984)
1722461892255;0.139079;-0.316925;VALID;(0.002427, -0.005531, 0.999982)
1722461892260;0.106117;-0.335775;VALID;(0.001852, -0.005860, 0.999981)
1722461892265;0.090931;-0.342390;VALID;(0.001587, -0.005976, 0.999981)
1722461892270;0.067515;-0.348667;VALID;(0.001178, -0.006085, 0.999981)
1722461892275;0.066512;-0.369810;VALID;(0.001161, -0.006454, 0.999979)
1722461892280;0.130096;-0.405798;VALID;(0.002271, -0.007082, 0.999972)
1722461892285;0.114969;-0.413996;VALID;(0.002007, -0.007226, 0.999972)
1722461892290;0.088175;-0.440278;VALID;(0.001539, -0.007684, 0.999969)
1722461892295;0.084571;-0.436249;VALID;(0.001476, -0.007614, 0.999970)
