CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1743622403281;-0.524486;-0.670841;VALID;(-0.009153, -0.011708, 0.999890)
1743622403286;-0.523829;-0.635245;VALID;(-0.009142, -0.011086, 0.999897)
1743622403291;-0.526402;-0.679379;VALID;(-0.009187, -0.011857, 0.999888)
1743622403296;-0.535192;-0.691804;VALID;(-0.009340, -0.012073, 0.999884)
1743622403301;-0.540618;-0.712889;VALID;(-0.009435, -0.012441, 0.999878)
1743622403306;-0.541788;-0.720633;VALID;(-0.009455, -0.012577, 0.999876)
1743622403311;-0.548741;-0.699968;VALID;(-0.009576, -0.012216, 0.999880)
1743622403316;-0.524464;-0.655188;VALID;(-0.009153, -0.011434, 0.999893)
1743622403321;-0.538182;-0.670031;VALID;(-0.009392, -0.011693, 0.999888)
1743622403326;-0.538882;-0.671890;VALID;(-0.009404, -0.011726, 0.999887)
1743622403331;-0.554604;-0.687526;VALID;(-0.009679, -0.011999, 0.999881)
1743622403336;-0.554034;-0.695449;VALID;(-0.009669, -0.012137, 0.999880)
1743622403341;-0.545190;-0.630979;VALID;(-0.009515, -0.011012, 0.999894)
1743622403346;-0.547131;-0.623665;VALID;(-0.009549, -0.010884, 0.999895)
1743622403351;-0.553797;-0.629855;VALID;(-0.009665, -0.010992, 0.999893)
1743622403356;-0.552155;-0.683176;VALID;(-0.009636, -0.011923, 0.999883)
1743622403361;-0.558655;-0.706289;VALID;(-0.009749, -0.012326, 0.999877)
1743622403366;-0.572408;-0.699532;VALID;(-0.009989, -0.012208, 0.999876)
1743622403371;-0.572306;-0.706251;VALID;(-0.009988, -0.012325, 0.999874)
1743622403376;-0.580636;-0.721894;VALID;(-0.010133, -0.012598, 0.999869)
1743622403381;-0.585631;-0.703769;VALID;(-0.010220, -0.012282, 0.999872)
1743622403386;-0.596743;-0.718949;VALID;(-0.010414, -0.012547, 0.999867)
1743622403391;-0.624292;-0.704534;VALID;(-0.010895, -0.012295, 0.999865)
1743622403396;-0.628156;-0.689753;VALID;(-0.010962, -0.012037, 0.999867)
1743622403401;-0.601845;-0.652609;VALID;(-0.010503, -0.011389, 0.999880)
1743622403406;-0.631529;-0.684944;VALID;(-0.011021, -0.011954, 0.999868)
1743622403411;-0.606533;-0.751876;VALID;(-0.010585, -0.013122, 0.999858)
1743622403416;-0.618413;-0.744949;VALID;(-0.010792, -0.013001, 0.999857)
1743622403421;-0.634706;-0.711672;VALID;(-0.011077, -0.012420, 0.999862)
1743622403426;-0.636259;-0.625755;VALID;(-0.011104, -0.010921, 0.999879)
1743622403431;-0.636709;-0.779812;VALID;(-0.011111, -0.013609, 0.999846)
1743622403436;-0.626586;-0.827687;VALID;(-0.010935, -0.014444, 0.999836)
1743622403441;-0.637029;-0.790924;VALID;(-0.011117, -0.013803, 0.999843)
1743622403446;-0.623302;-0.829602;VALID;(-0.010877, -0.014478, 0.999836)
1743622403451;-0.599617;-0.781666;VALID;(-0.010464, -0.013641, 0.999852)
1743622403456;-0.615573;-0.816366;VALID;(-0.010742, -0.014247, 0.999841)
1743622403461;-0.616783;-0.817223;VALID;(-0.010764, -0.014262, 0.999840)
1743622403466;-0.642695;-0.819390;VALID;(-0.011216, -0.014300, 0.999835)
1743622403471;-0.632696;-0.834888;VALID;(-0.011041, -0.014570, 0.999833)
1743622403476;-0.649358;-0.858108;VALID;(-0.011332, -0.014975, 0.999824)
1743622403481;-0.634714;-0.861926;VALID;(-0.011076, -0.015042, 0.999826)
1743622403486;-0.627459;-0.851941;VALID;(-0.010950, -0.014868, 0.999830)
1743622403491;-0.653158;-0.842308;VALID;(-0.011398, -0.014700, 0.999827)
1743622403496;-0.664077;-0.844731;VALID;(-0.011589, -0.014742, 0.999824)
1743622403501;-0.661983;-0.850470;VALID;(-0.011552, -0.014842, 0.999823)
1743622403506;-0.665443;-0.854994;VALID;(-0.011613, -0.014921, 0.999821)
1743622403511;-0.677457;-0.840347;VALID;(-0.011822, -0.014665, 0.999823)
1743622403516;-0.687206;-0.787351;VALID;(-0.011993, -0.013740, 0.999834)
