CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1722462312987;2.443587;2.760289;VALID;(0.042586, 0.048114, 0.997934)
1722462312992;2.409441;2.743982;VALID;(0.041992, 0.047831, 0.997972)
1722462312997;2.394499;2.726054;VALID;(0.041733, 0.047519, 0.997998)
1722462313002;2.450408;2.732605;VALID;(0.042706, 0.047631, 0.997952)
1722462313007;2.400013;2.742368;VALID;(0.041828, 0.047803, 0.997981)
1722462313012;2.381557;2.743694;VALID;(0.041506, 0.047827, 0.997993)
1722462313017;2.332942;2.757935;VALID;(0.040659, 0.048077, 0.998016)
1722462313022;2.295374;2.750069;VALID;(0.040005, 0.047941, 0.998049)
1722462313027;2.252061;2.770352;VALID;(0.039250, 0.048296, 0.998062)
1722462313032;2.222843;2.785334;VALID;(0.038740, 0.048558, 0.998069)
1722462313037;2.197446;2.789448;VALID;(0.038298, 0.048630, 0.998082)
1722462313042;2.174230;2.793635;VALID;(0.037893, 0.048704, 0.998094)
1722462313047;2.160885;2.799401;VALID;(0.037661, 0.048805, 0.998098)
1722462313052;2.134925;2.811020;VALID;(0.037208, 0.049008, 0.998105)
1722462313057;2.115964;2.810169;VALID;(0.036878, 0.048994, 0.998118)
1722462313062;2.103021;2.810374;VALID;(0.036652, 0.048998, 0.998126)
1722462313067;2.083170;2.815859;VALID;(0.036306, 0.049094, 0.998134)
1722462313073;2.067765;2.794944;VALID;(0.036039, 0.048730, 0.998162)
1722462313078;2.055604;2.793659;VALID;(0.035827, 0.048708, 0.998170)
1722462313083;2.038649;2.797069;VALID;(0.035531, 0.048768, 0.998178)
1722462313088;2.022717;2.800813;VALID;(0.035254, 0.048834, 0.998185)
1722462313093;2.007446;2.795657;VALID;(0.034988, 0.048744, 0.998198)
1722462313098;2.004254;2.805438;VALID;(0.034932, 0.048915, 0.998192)
1722462313103;1.985873;2.795309;VALID;(0.034612, 0.048739, 0.998212)
1722462313108;1.970185;2.800083;VALID;(0.034338, 0.048822, 0.998217)
1722462313113;1.966948;2.799059;VALID;(0.034282, 0.048805, 0.998220)
1722462313118;1.953545;2.809033;VALID;(0.034048, 0.048979, 0.998219)
1722462313123;1.938661;2.803151;VALID;(0.033789, 0.048877, 0.998233)
1722462313128;1.935388;2.826104;VALID;(0.033731, 0.049277, 0.998215)
1722462313133;1.922833;2.809884;VALID;(0.033513, 0.048995, 0.998237)
1722462313138;1.912948;2.830548;VALID;(0.033340, 0.049355, 0.998225)
1722462313143;1.902776;2.849447;VALID;(0.033163, 0.049684, 0.998214)
1722462313148;1.891149;2.868339;VALID;(0.032959, 0.050014, 0.998205)
1722462313153;1.883755;2.877823;VALID;(0.032830, 0.050179, 0.998201)
1722462313158;1.869629;2.862327;VALID;(0.032585, 0.049910, 0.998222)
1722462313163;1.839071;2.828947;VALID;(0.032053, 0.049329, 0.998268)
1722462313168;1.925509;2.754247;VALID;(0.033561, 0.048025, 0.998282)
1722462313173;2.025831;2.678481;VALID;(0.035311, 0.046702, 0.998285)
1722462313178;2.366240;2.410415;VALID;(0.041250, 0.042021, 0.998265)
1722462313183;2.371869;2.318197;VALID;(0.041351, 0.040415, 0.998327)
1722462313188;2.614048;2.153139;VALID;(0.045576, 0.037531, 0.998256)
1722462313193;3.077233;2.082069;VALID;(0.053647, 0.036279, 0.997901)
1722462313198;3.236974;1.961430;VALID;(0.056433, 0.034172, 0.997822)
1722462313203;3.404916;1.877592;VALID;(0.059360, 0.032707, 0.997701)
1722462313208;3.456298;1.850398;VALID;(0.060256, 0.032231, 0.997663)
1722462313213;3.507573;1.805184;VALID;(0.061150, 0.031442, 0.997633)
1722462313218;3.542370;1.787470;VALID;(0.061757, 0.031133, 0.997606)
1722462313223;3.571427;1.787760;VALID;(0.062263, 0.031137, 0.997574)
1722462313228;3.594847;1.776163;VALID;(0.062671, 0.030934, 0.997555)
1722462313233;3.630058;1.771259;VALID;(0.063284, 0.030847, 0.997519)
1722462313238;3.659540;1.766831;VALID;(0.063797, 0.030769, 0.997488)
1722462313243;3.672090;1.764866;VALID;(0.064016, 0.030735, 0.997476)
1722462313248;3.674711;1.768772;VALID;(0.064061, 0.030803, 0.997470)
1722462313253;3.685125;1.768708;VALID;(0.064243, 0.030801, 0.997459)
1722462313258;3.699599;1.763740;VALID;(0.064495, 0.030714, 0.997445)
1722462313263;3.702872;1.767221;VALID;(0.064552, 0.030775, 0.997440)
1722462313268;3.715123;1.772461;VALID;(0.064765, 0.030865, 0.997423)
1722462313273;3.722497;1.771798;VALID;(0.064893, 0.030854, 0.997415)
1722462313278;3.729080;1.765358;VALID;(0.065008, 0.030741, 0.997411)
1722462313283;3.734210;1.742842;VALID;(0.065098, 0.030349, 0.997417)
1722462313288;3.735060;1.735055;VALID;(0.065113, 0.030214, 0.997420)
1722462313293;3.734373;1.734514;VALID;(0.065101, 0.030204, 0.997421)
1722462313298;3.737341;1.729763;VALID;(0.065153, 0.030121, 0.997421)
1722462313303;3.741425;1.728162;VALID;(0.065224, 0.030093, 0.997417)
1722462313308;3.738478;1.733391;VALID;(0.065173, 0.030184, 0.997417)
1722462313313;3.745287;1.716051;VALID;(0.065292, 0.029882, 0.997419)
1722462313318;4.026190;1.621773;VALID;(0.070184, 0.028232, 0.997134)
1722462313323;4.729977;1.701438;VALID;(0.082424, 0.029590, 0.996158)
1722462313328;5.140129;1.602382;VALID;(0.089557, 0.027851, 0.995592)
1722462313333;5.397109;1.692508;VALID;(0.094017, 0.029405, 0.995136)
1722462313338;5.480276;1.714611;VALID;(0.095461, 0.029784, 0.994988)
1722462313343;5.483919;1.710272;VALID;(0.095524, 0.029709, 0.994984)
1722462313348;5.471150;1.714315;VALID;(0.095302, 0.029780, 0.995003)
1722462313353;5.508367;1.693886;VALID;(0.095950, 0.029423, 0.994951)
1722462313358;5.548738;1.686964;VALID;(0.096651, 0.029301, 0.994887)
1722462313363;5.573781;1.712061;VALID;(0.097085, 0.029736, 0.994832)
