CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1739396039017;-0.658072;-0.362507;VALID;(-0.011485, -0.006326, 0.999914)
1739396039022;-1.748900;-1.798594;VALID;(-0.030504, -0.031372, 0.999042)
1739396039027;-5.118650;15.970167;VALID;(-0.085801, 0.274122, 0.957860)
1739396039032;-1.749544;-1.926434;VALID;(-0.030513, -0.033601, 0.998969)
1739396039037;-6.081101;16.773429;VALID;(-0.101476, 0.287098, 0.952511)
1739396039042;-1.771725;-2.090785;VALID;(-0.030897, -0.036466, 0.998857)
1739396039047;-0.584970;-0.417428;VALID;(-0.010209, -0.007285, 0.999921)
1739396039052;-1.723194;-1.857618;VALID;(-0.030055, -0.032401, 0.999023)
1739396039057;-1.746395;-1.868459;VALID;(-0.030459, -0.032590, 0.999005)
1739396039062;-1.750130;-1.853317;VALID;(-0.030525, -0.032326, 0.999011)
1739396039067;-1.753713;-1.850282;VALID;(-0.030587, -0.032273, 0.999011)
1739396039072;-1.727268;-1.977578;VALID;(-0.030124, -0.034493, 0.998951)
1739396039077;-0.639159;-0.400259;VALID;(-0.011155, -0.006985, 0.999913)
1739396039082;-1.759052;-2.056001;VALID;(-0.030677, -0.035859, 0.998886)
1739396039087;-26.508210;28.075782;VALID;(-0.402792, 0.430772, 0.807586)
1739396039092;-1.744376;-1.874095;VALID;(-0.030424, -0.032688, 0.999003)
1739396039097;-6.439052;16.873218;VALID;(-0.107375, 0.288577, 0.951417)
1739396039102;-1.748518;-1.856074;VALID;(-0.030497, -0.032374, 0.999010)
1739396039107;-5.783047;16.687383;VALID;(-0.096559, 0.285808, 0.953410)
1739396039112;-1.837514;-1.979604;VALID;(-0.032046, -0.034526, 0.998890)
1739396039117;-5.077682;16.052404;VALID;(-0.085081, 0.275514, 0.957525)
1739396039122;-1.769997;-2.143050;VALID;(-0.030866, -0.037377, 0.998825)
1739396039127;-4.552509;15.353219;VALID;(-0.076557, 0.263992, 0.961482)
1739396039132;-1.853933;-2.127826;VALID;(-0.032329, -0.037110, 0.998788)
1739396039137;-10.983102;20.141726;VALID;(-0.179254, 0.338766, 0.923637)
1739396039142;-1.909093;-2.026984;VALID;(-0.033293, -0.035351, 0.998820)
1739396039147;-26.625003;28.533008;VALID;(-0.403061, 0.437146, 0.804018)
1739396039152;-1.849561;-1.886472;VALID;(-0.032258, -0.032902, 0.998938)
1739396039157;-1.838012;-1.983068;VALID;(-0.032055, -0.034586, 0.998888)
1739396039162;-0.740619;-0.442222;VALID;(-0.012926, -0.007718, 0.999887)
1739396039167;-1.754982;-2.110881;VALID;(-0.030605, -0.036816, 0.998853)
1739396039172;-1.748497;-2.107788;VALID;(-0.030492, -0.036762, 0.998859)
1739396039177;-1.720574;-2.153918;VALID;(-0.030004, -0.037567, 0.998844)
1739396039182;-0.659352;-0.681285;VALID;(-0.011507, -0.011890, 0.999863)
