CaptureTime;CalcXEccentricity;CalcYEccentricity;CombinedGazeForward;Valid
1720562852909;-7.222567;0.595021;(-0.125717, 0.010302, 0.992013);VALID
1720562852914;-7.258399;0.595333;(-0.126338, 0.010307, 0.991934);VALID
1720562852919;-7.265471;0.594859;(-0.126460, 0.010299, 0.991918);VALID
1720562852924;-7.262351;0.605451;(-0.126406, 0.010482, 0.991923);VALID
1720562852929;-7.326381;0.630607;(-0.127514, 0.010916, 0.991777);VALID
1720562852934;-7.309527;0.651792;(-0.127221, 0.011283, 0.991810);VALID
1720562852939;-7.308378;0.603962;(-0.127203, 0.010455, 0.991822);VALID
1720562852944;-7.366022;0.593375;(-0.128201, 0.010271, 0.991695);VALID
1720562852949;-7.457052;0.592601;(-0.129776, 0.010255, 0.991490);VALID
1720562852954;-7.344609;0.577981;(-0.127830, 0.010005, 0.991746);VALID
1720562852959;-7.194396;0.644538;(-0.125228, 0.011161, 0.992065);VALID
1720562852964;-7.162922;0.709257;(-0.124682, 0.012282, 0.992121);VALID
1720562852969;-7.029360;0.754768;(-0.122368, 0.013074, 0.992399);VALID
1720562852974;-6.957812;0.761596;(-0.121128, 0.013194, 0.992549);VALID
1720562852979;-6.885741;0.799272;(-0.119878, 0.013849, 0.992692);VALID
1720562852984;-6.858021;0.839935;(-0.119397, 0.014554, 0.992740);VALID
1720562852989;-6.818937;0.875031;(-0.118719, 0.015164, 0.992812);VALID
1720562852994;-6.801907;0.871776;(-0.118424, 0.015108, 0.992848);VALID
1720562852999;-6.775402;0.854530;(-0.117965, 0.014810, 0.992907);VALID
1720562853004;-6.790454;0.948397;(-0.118223, 0.016436, 0.992851);VALID
1720562853009;-6.756884;0.918081;(-0.117642, 0.015912, 0.992929);VALID
1720562853014;-6.781700;0.915041;(-0.118072, 0.015858, 0.992878);VALID
1720562853019;-6.762859;0.914783;(-0.117746, 0.015854, 0.992917);VALID
1720562853024;-6.737719;0.880786;(-0.117311, 0.015266, 0.992978);VALID
1720562853029;-6.727020;0.858770;(-0.117126, 0.014885, 0.993006);VALID
1720562853034;-6.737135;0.895358;(-0.117300, 0.015518, 0.992975);VALID
1720562853039;-6.735532;0.924074;(-0.117272, 0.016016, 0.992971);VALID
