CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1739395626575;NaN;NaN;INVALID;
1739395626580;NaN;NaN;INVALID;
1739395626585;NaN;NaN;INVALID;
1739395626590;NaN;NaN;INVALID;
1739395626595;NaN;NaN;INVALID;
1739395626600;NaN;NaN;INVALID;
1739395626605;NaN;NaN;INVALID;
1739395626610;NaN;NaN;INVALID;
1739395626615;NaN;NaN;INVALID;
1739395626620;NaN;NaN;INVALID;
1739395626625;NaN;NaN;INVALID;
1739395626630;NaN;NaN;INVALID;
1739395626635;NaN;NaN;INVALID;
1739395626640;NaN;NaN;INVALID;
1739395626645;NaN;NaN;INVALID;
1739395626650;NaN;NaN;INVALID;
1739395626655;NaN;NaN;INVALID;
1739395626660;NaN;NaN;INVALID;
1739395626665;NaN;NaN;INVALID;
1739395626670;NaN;NaN;INVALID;
1739395626675;NaN;NaN;INVALID;
1739395626680;NaN;NaN;INVALID;
1739395626685;NaN;NaN;INVALID;
1739395626690;NaN;NaN;INVALID;
1739395626695;NaN;NaN;INVALID;
1739395626700;NaN;NaN;INVALID;
1739395626705;NaN;NaN;INVALID;
1739395626710;NaN;NaN;INVALID;
1739395626715;NaN;NaN;INVALID;
1739395626720;NaN;NaN;INVALID;
1739395626725;NaN;NaN;INVALID;
1739395626730;NaN;NaN;INVALID;
1739395626735;NaN;NaN;INVALID;
1739395626740;NaN;NaN;INVALID;
1739395626745;NaN;NaN;INVALID;
1739395626750;NaN;NaN;INVALID;
1739395626755;4.523814;4.956140;VALID;(0.078580, 0.086126, 0.993181)
1739395626760;4.659263;4.898273;VALID;(0.080935, 0.085107, 0.993079)
1739395626765;4.470986;4.506757;VALID;(0.077715, 0.078339, 0.993893)
1739395626770;4.359820;4.282421;VALID;(0.075809, 0.074458, 0.994339)
1739395626775;4.313700;4.207325;VALID;(0.075016, 0.073159, 0.994495)
1739395626780;4.247221;4.473665;VALID;(0.073836, 0.077788, 0.994232)
1739395626785;4.305431;4.640027;VALID;(0.074829, 0.080668, 0.993928)
1739395626790;4.295172;4.644934;VALID;(0.074650, 0.080755, 0.993935)
1739395626795;4.314677;4.715190;VALID;(0.074981, 0.081971, 0.993810)
1739395626800;4.369934;4.866401;VALID;(0.075923, 0.084588, 0.993519)
1739395626805;4.534738;4.877878;VALID;(0.078779, 0.084768, 0.993282)
1739395626810;4.628299;4.918526;VALID;(0.080396, 0.085462, 0.993093)
1739395626815;4.891644;5.099227;VALID;(0.084937, 0.088560, 0.992443)
1739395626820;4.941519;5.478408;VALID;(0.085748, 0.095119, 0.991766)
1739395626825;4.902204;5.592966;VALID;(0.085051, 0.097108, 0.991633)
1739395626830;4.790790;5.549055;VALID;(0.083129, 0.096363, 0.991869)
1739395626835;4.758047;5.729002;VALID;(0.082537, 0.099483, 0.991610)
1739395626840;4.690927;5.826983;VALID;(0.081361, 0.101188, 0.991535)
1739395626845;4.492204;5.962815;VALID;(0.077902, 0.103567, 0.991567)
1739395626850;4.475159;5.874604;VALID;(0.077620, 0.102043, 0.991747)
1739395626855;4.447296;5.805512;VALID;(0.077147, 0.100851, 0.991906)
1739395626860;4.396183;5.651571;VALID;(0.076282, 0.098192, 0.992240)
1739395626865;4.341071;5.474296;VALID;(0.075350, 0.095128, 0.992609)
1739395626870;4.211429;5.461771;VALID;(0.073106, 0.094927, 0.992796)
1739395626875;4.122769;5.414928;VALID;(0.071575, 0.094126, 0.992984)
1739395626880;4.151458;5.149978;VALID;(0.072103, 0.089529, 0.993371)
1739395626885;4.180261;5.259964;VALID;(0.072589, 0.091433, 0.993162)
1739395626890;4.244723;4.836400;VALID;(0.073755, 0.084081, 0.993726)
1739395626895;4.350504;4.823239;VALID;(0.075591, 0.083841, 0.993608)
1739395626900;4.601295;5.065271;VALID;(0.079910, 0.088008, 0.992909)
1739395626905;4.710111;5.015045;VALID;(0.081802, 0.087124, 0.992833)
1739395626910;4.691722;4.847793;VALID;(0.081504, 0.084228, 0.993108)
1739395626915;4.711650;5.108144;VALID;(0.081817, 0.088737, 0.992689)
1739395626920;4.824371;5.067247;VALID;(0.083775, 0.088014, 0.992590)
1739395626925;4.693912;5.288521;VALID;(0.081487, 0.091865, 0.992432)
1739395626930;4.890833;5.067486;VALID;(0.084927, 0.088010, 0.992493)
1739395626935;4.913126;5.281732;VALID;(0.085284, 0.091718, 0.992126)
1739395626940;4.955216;5.513294;VALID;(0.085980, 0.095721, 0.991688)
1739395626945;5.102271;5.740762;VALID;(0.088491, 0.099635, 0.991081)
1739395626950;5.237513;5.898741;VALID;(0.090805, 0.102346, 0.990596)
1739395626955;5.405653;6.026593;VALID;(0.093690, 0.104528, 0.990099)
1739395626960;5.352951;6.341815;VALID;(0.092725, 0.109984, 0.989599)
1739395626965;5.517798;6.529524;VALID;(0.095537, 0.113195, 0.988969)
1739395626970;6.038154;6.539581;VALID;(0.104514, 0.113266, 0.988053)
1739395626975;6.105535;6.440959;VALID;(0.105696, 0.111551, 0.988122)
1739395626980;5.968363;6.381751;VALID;(0.103342, 0.110557, 0.988482)
1739395626985;6.270233;6.384253;VALID;(0.108549, 0.110539, 0.987926)
1739395626990;6.092509;6.272713;VALID;(0.105506, 0.108651, 0.988465)
1739395626995;6.096904;6.213218;VALID;(0.105593, 0.107624, 0.988568)
1739395627000;6.144707;6.225401;VALID;(0.106416, 0.107824, 0.988458)
1739395627005;6.281003;6.191764;VALID;(0.108774, 0.107217, 0.988268)
1739395627010;6.314726;6.129089;VALID;(0.109369, 0.106128, 0.988319)
1739395627015;6.244925;6.010605;VALID;(0.108188, 0.104098, 0.988665)
1739395627020;6.154897;5.835599;VALID;(0.106667, 0.101094, 0.989142)
1739395627025;5.999247;5.737230;VALID;(0.103998, 0.099424, 0.989596)
1739395627030;5.924191;5.644860;VALID;(0.102717, 0.097842, 0.989887)
1739395627035;5.881335;5.504583;VALID;(0.102001, 0.095425, 0.990197)
1739395627040;5.903072;5.553068;VALID;(0.102368, 0.096259, 0.990078)
1739395627045;6.011259;5.483584;VALID;(0.104250, 0.095040, 0.990000)
1739395627050;5.935310;5.505836;VALID;(0.102934, 0.095437, 0.990099)
1739395627055;5.878544;5.526778;VALID;(0.101949, 0.095809, 0.990165)
1739395627060;5.897716;5.460314;VALID;(0.102292, 0.094657, 0.990241)
1739395627065;5.926739;5.521118;VALID;(0.102783, 0.095703, 0.990089)
1739395627070;5.949786;5.622159;VALID;(0.103164, 0.097445, 0.989880)
