CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1738267981940;-1.588091;-2.853679;VALID;(-0.027680, -0.049766, 0.998377)
1738267981945;-1.446890;-2.848276;VALID;(-0.025219, -0.049676, 0.998447)
1738267981950;-1.666807;-2.772072;VALID;(-0.029053, -0.048343, 0.998408)
1738267981955;-1.838984;-2.906815;VALID;(-0.032050, -0.050686, 0.998200)
1738267981960;-1.741822;-2.952590;VALID;(-0.030356, -0.051486, 0.998212)
1738267981965;-1.288881;-2.646813;VALID;(-0.022469, -0.046168, 0.998681)
1738267981970;-1.380358;-2.319424;VALID;(-0.024070, -0.040459, 0.998891)
1738267981975;-1.081295;-2.071657;VALID;(-0.018859, -0.036143, 0.999169)
1738267981980;-0.891590;-1.950127;VALID;(-0.015552, -0.034025, 0.999300)
1738267981985;-0.720611;-1.911795;VALID;(-0.012570, -0.033358, 0.999364)
1738267981990;-0.597365;-1.813199;VALID;(-0.010421, -0.031639, 0.999445)
1738267981995;-0.575247;-1.774221;VALID;(-0.010035, -0.030959, 0.999470)
1738267982000;-0.570273;-1.777390;VALID;(-0.009948, -0.031015, 0.999469)
1738267982005;-0.538545;-1.743883;VALID;(-0.009395, -0.030430, 0.999493)
1738267982010;-0.560400;-1.713082;VALID;(-0.009776, -0.029893, 0.999505)
1738267982015;-0.594908;-1.649448;VALID;(-0.010379, -0.028783, 0.999532)
1738267982020;-0.581177;-1.618462;VALID;(-0.010139, -0.028242, 0.999550)
1738267982025;-0.543104;-1.597602;VALID;(-0.009475, -0.027879, 0.999566)
1738267982030;-0.430501;-1.629563;VALID;(-0.007511, -0.028437, 0.999567)
1738267982035;-0.375693;-1.589989;VALID;(-0.006555, -0.027746, 0.999594)
1738267982040;-0.372646;-1.604290;VALID;(-0.006501, -0.027996, 0.999587)
1738267982045;-0.337601;-1.565412;VALID;(-0.005890, -0.027318, 0.999610)
1738267982050;-0.309432;-1.518588;VALID;(-0.005399, -0.026501, 0.999634)
1738267982055;-0.279235;-1.453803;VALID;(-0.004872, -0.025371, 0.999666)
1738267982060;-0.283771;-1.450119;VALID;(-0.004951, -0.025306, 0.999668)
1738267982065;-0.265437;-1.416339;VALID;(-0.004631, -0.024717, 0.999684)
1738267982070;-0.292964;-1.379283;VALID;(-0.005112, -0.024070, 0.999697)
1738267982075;-0.337075;-1.325382;VALID;(-0.005881, -0.023130, 0.999715)
1738267982080;-0.325703;-1.277782;VALID;(-0.005683, -0.022299, 0.999735)
1738267982085;-0.261386;-1.219999;VALID;(-0.004561, -0.021291, 0.999763)
1738267982090;-0.258117;-1.324886;VALID;(-0.004504, -0.023121, 0.999723)
1738267982095;-0.243535;-1.340097;VALID;(-0.004249, -0.023387, 0.999718)
1738267982100;-0.226616;-1.320127;VALID;(-0.003954, -0.023038, 0.999727)
1738267982105;-0.246073;-1.264672;VALID;(-0.004294, -0.022071, 0.999747)
1738267982110;-0.394643;-1.329813;VALID;(-0.006886, -0.023207, 0.999707)
1738267982115;-0.275694;-1.279640;VALID;(-0.004811, -0.022332, 0.999739)
1738267982120;-0.311421;-1.395177;VALID;(-0.005434, -0.024348, 0.999689)
1738267982125;-0.312389;-1.396235;VALID;(-0.005451, -0.024366, 0.999688)
1738267982130;-0.321622;-1.464664;VALID;(-0.005612, -0.025560, 0.999658)
1738267982135;-0.263255;-1.493474;VALID;(-0.004593, -0.026063, 0.999650)
1738267982140;-0.355287;-1.626151;VALID;(-0.006198, -0.028377, 0.999578)
1738267982145;-0.317045;-1.601215;VALID;(-0.005531, -0.027942, 0.999594)
1738267982150;-0.272703;-1.575561;VALID;(-0.004758, -0.027495, 0.999611)
1738267982155;-0.222336;-1.552755;VALID;(-0.003879, -0.027097, 0.999625)
1738267982160;-0.233020;-1.535093;VALID;(-0.004065, -0.026789, 0.999633)
1738267982165;-0.237751;-1.538489;VALID;(-0.004148, -0.026848, 0.999631)
1738267982170;-0.266658;-1.529220;VALID;(-0.004652, -0.026686, 0.999633)
1738267982175;-0.278422;-1.583648;VALID;(-0.004857, -0.027636, 0.999606)
1738267982180;-0.298226;-1.591480;VALID;(-0.005203, -0.027773, 0.999601)
1738267982185;-0.200679;-1.666072;VALID;(-0.003501, -0.029074, 0.999571)
1738267982190;-0.330022;-1.595696;VALID;(-0.005758, -0.027846, 0.999596)
1738267982195;-0.188201;-1.662915;VALID;(-0.003283, -0.029019, 0.999574)
1738267982200;-0.148082;-1.658850;VALID;(-0.002583, -0.028948, 0.999578)
1738267982205;-0.059279;-1.649632;VALID;(-0.001034, -0.028788, 0.999585)
1738267982210;-0.261002;-1.564903;VALID;(-0.004554, -0.027309, 0.999617)
1738267982215;-0.267830;-1.536774;VALID;(-0.004673, -0.026818, 0.999629)
1738267982220;-0.253041;-1.482016;VALID;(-0.004415, -0.025863, 0.999656)
1738267982225;-0.213882;-1.417313;VALID;(-0.003732, -0.024734, 0.999687)
1738267982230;-0.253758;-1.390083;VALID;(-0.004428, -0.024259, 0.999696)
1738267982235;-0.235338;-1.288794;VALID;(-0.004106, -0.022492, 0.999739)
1738267982240;-0.252303;-1.293679;VALID;(-0.004402, -0.022577, 0.999735)
1738267982245;-0.243367;-1.307884;VALID;(-0.004246, -0.022825, 0.999731)
1738267982250;-0.206536;-1.276150;VALID;(-0.003604, -0.022271, 0.999746)
1738267982255;-0.199793;-1.296824;VALID;(-0.003486, -0.022632, 0.999738)
1738267982260;-0.194153;-1.295510;VALID;(-0.003388, -0.022609, 0.999739)
1738267982265;-0.183861;-1.277714;VALID;(-0.003208, -0.022298, 0.999746)
1738267982270;-0.173832;-1.287010;VALID;(-0.003033, -0.022461, 0.999743)
1738267982275;0.067940;-1.423675;VALID;(0.001185, -0.024845, 0.999691)
1738267982280;0.129875;-1.412881;VALID;(0.002266, -0.024657, 0.999693)
1738267982285;0.133326;-1.422655;VALID;(0.002326, -0.024827, 0.999689)
1738267982290;-0.097781;-1.355035;VALID;(-0.001706, -0.023648, 0.999719)
1738267982295;-0.109328;-1.373556;VALID;(-0.001908, -0.023971, 0.999711)
1738267982300;-0.108933;-1.375995;VALID;(-0.001901, -0.024013, 0.999710)
1738267982305;0.042858;-1.426929;VALID;(0.000748, -0.024902, 0.999690)
1738267982310;-0.109650;-1.338487;VALID;(-0.001913, -0.023359, 0.999725)
1738267982315;-0.097297;-1.324347;VALID;(-0.001698, -0.023112, 0.999731)
1738267982320;-0.067049;-1.314328;VALID;(-0.001170, -0.022937, 0.999736)
1738267982325;-0.038714;-1.302672;VALID;(-0.000676, -0.022734, 0.999741)
1738267982330;-0.011655;-1.320754;VALID;(-0.000203, -0.023049, 0.999734)
1738267982335;-0.011906;-1.311107;VALID;(-0.000208, -0.022881, 0.999738)
1738267982340;0.004565;-1.368340;VALID;(0.000080, -0.023880, 0.999715)
1738267982345;0.021455;-1.381871;VALID;(0.000374, -0.024116, 0.999709)
1738267982350;0.008090;-1.385304;VALID;(0.000141, -0.024176, 0.999708)
1738267982355;0.028770;-1.335357;VALID;(0.000502, -0.023304, 0.999728)
1738267982360;0.017590;-1.319179;VALID;(0.000307, -0.023022, 0.999735)
1738267982365;0.159819;-1.388943;VALID;(0.002789, -0.024239, 0.999702)
1738267982370;0.001358;-1.300280;VALID;(0.000024, -0.022692, 0.999743)
1738267982375;0.015292;-1.244271;VALID;(0.000267, -0.021715, 0.999764)
1738267982380;0.024945;-1.250030;VALID;(0.000435, -0.021815, 0.999762)
1738267982385;0.192052;-1.299480;VALID;(0.003351, -0.022678, 0.999737)
1738267982390;0.048794;-1.245086;VALID;(0.000851, -0.021729, 0.999764)
1738267982395;0.030388;-1.218484;VALID;(0.000530, -0.021265, 0.999774)
1738267982400;0.021304;-1.206257;VALID;(0.000372, -0.021052, 0.999778)
1738267982405;0.039516;-1.203585;VALID;(0.000690, -0.021005, 0.999779)
1738267982410;0.184292;-1.268820;VALID;(0.003216, -0.022143, 0.999750)
1738267982415;0.253033;-1.310563;VALID;(0.004415, -0.022871, 0.999729)
1738267982420;0.095460;-1.216402;VALID;(0.001666, -0.021229, 0.999773)
1738267982425;0.125686;-1.236592;VALID;(0.002193, -0.021581, 0.999765)
