CaptureTime;CalcXEccentricity;CalcYEccentricity;Valid;CombinedGazeOrigin
1738018111973;-0.633377;-0.942383;VALID;(-0.011053, -0.016446, 0.999804)
1738018111978;-0.619977;-0.934132;VALID;(-0.010819, -0.016302, 0.999809)
1738018111983;-0.634637;-0.906504;VALID;(-0.011075, -0.015820, 0.999814)
1738018111988;-0.506259;-0.834099;VALID;(-0.008835, -0.014557, 0.999855)
1738018111993;-0.542855;-0.994370;VALID;(-0.009473, -0.017353, 0.999805)
1738018111998;-0.666965;-1.133952;VALID;(-0.011638, -0.019789, 0.999736)
1738018112003;-0.669409;-1.133675;VALID;(-0.011681, -0.019784, 0.999736)
1738018112008;-0.765446;-1.181275;VALID;(-0.013356, -0.020614, 0.999698)
1738018112013;-0.749845;-1.204861;VALID;(-0.013084, -0.021025, 0.999693)
1738018112018;-0.604928;-1.101568;VALID;(-0.010556, -0.019224, 0.999760)
1738018112023;-0.668647;-1.184222;VALID;(-0.011667, -0.020666, 0.999718)
1738018112028;-0.651148;-1.147478;VALID;(-0.011362, -0.020025, 0.999735)
1738018112033;-0.647919;-1.222471;VALID;(-0.011306, -0.021333, 0.999709)
1738018112038;-0.550938;-1.216180;VALID;(-0.009613, -0.021224, 0.999729)
1738018112043;-0.582292;-1.207347;VALID;(-0.010160, -0.021070, 0.999726)
1738018112048;-0.585514;-1.197633;VALID;(-0.010217, -0.020900, 0.999729)
1738018112053;-0.548682;-1.164111;VALID;(-0.009574, -0.020315, 0.999748)
1738018112058;-0.669327;-1.166767;VALID;(-0.011679, -0.020361, 0.999724)
1738018112063;-0.744556;-1.236742;VALID;(-0.012992, -0.021582, 0.999683)
1738018112068;-0.826391;-1.190849;VALID;(-0.014420, -0.020781, 0.999680)
1738018112073;-0.915255;-1.167171;VALID;(-0.015970, -0.020367, 0.999665)
1738018112078;-0.979157;-1.121060;VALID;(-0.017085, -0.019562, 0.999663)
1738018112083;-0.968329;-1.031995;VALID;(-0.016897, -0.018008, 0.999695)
1738018112088;-0.949538;-0.967895;VALID;(-0.016569, -0.016890, 0.999720)
1738018112093;-1.018182;-0.894099;VALID;(-0.017768, -0.015602, 0.999720)
1738018112098;-0.899623;-0.831905;VALID;(-0.015699, -0.014517, 0.999771)
1738018112103;-0.739906;-0.833369;VALID;(-0.012912, -0.014543, 0.999811)
1738018112108;-0.639570;-0.842989;VALID;(-0.011161, -0.014711, 0.999830)
1738018112114;-0.591854;-0.899392;VALID;(-0.010328, -0.015696, 0.999824)
1738018112119;-0.558855;-0.895420;VALID;(-0.009753, -0.015627, 0.999830)
1738018112124;-0.570099;-0.919621;VALID;(-0.009949, -0.016049, 0.999822)
1738018112129;-0.576499;-0.909811;VALID;(-0.010060, -0.015878, 0.999823)
1738018112134;-0.594174;-0.874754;VALID;(-0.010369, -0.015266, 0.999830)
1738018112139;-0.867634;-0.874590;VALID;(-0.015141, -0.015262, 0.999769)
1738018112144;-0.965337;-0.689888;VALID;(-0.016846, -0.012039, 0.999786)
1738018112149;-0.927732;-0.545008;VALID;(-0.016191, -0.009511, 0.999824)
1738018112154;-0.889536;-0.439061;VALID;(-0.015524, -0.007662, 0.999850)
1738018112159;-0.866045;-0.444366;VALID;(-0.015114, -0.007755, 0.999856)
1738018112164;-0.822402;-0.452592;VALID;(-0.014353, -0.007898, 0.999866)
1738018112169;-0.743668;-0.445847;VALID;(-0.012979, -0.007781, 0.999886)
1738018112174;-0.672057;-0.395253;VALID;(-0.011729, -0.006898, 0.999907)
1738018112179;-0.563534;-0.381861;VALID;(-0.009835, -0.006664, 0.999929)
1738018112184;-0.436539;-0.395001;VALID;(-0.007619, -0.006894, 0.999947)
1738018112189;-0.310161;-0.405714;VALID;(-0.005413, -0.007081, 0.999960)
1738018112194;-0.162550;-0.439747;VALID;(-0.002837, -0.007675, 0.999967)
1738018112199;-0.073989;-0.442436;VALID;(-0.001291, -0.007722, 0.999969)
1738018112204;-0.010136;-0.424717;VALID;(-0.000177, -0.007413, 0.999973)
1738018112209;0.039660;-0.420947;VALID;(0.000692, -0.007347, 0.999973)
1738018112214;0.119510;-0.375008;VALID;(0.002086, -0.006545, 0.999976)
1738018112219;0.190163;-0.378502;VALID;(0.003319, -0.006606, 0.999973)
1738018112224;0.199719;-0.341584;VALID;(0.003486, -0.005962, 0.999976)
1738018112229;0.113720;-0.432229;VALID;(0.001985, -0.007544, 0.999970)
1738018112234;0.082305;-0.466793;VALID;(0.001436, -0.008147, 0.999966)
1738018112239;0.076399;-0.455162;VALID;(0.001333, -0.007944, 0.999968)
1738018112244;0.054622;-0.482758;VALID;(0.000953, -0.008426, 0.999964)
1738018112249;0.051146;-0.517033;VALID;(0.000893, -0.009024, 0.999959)
1738018112254;0.045679;-0.551953;VALID;(0.000797, -0.009633, 0.999953)
1738018112259;0.053997;-0.658121;VALID;(0.000942, -0.011486, 0.999934)
1738018112264;0.015328;-0.855367;VALID;(0.000267, -0.014928, 0.999889)
1738018112269;0.008047;-0.908746;VALID;(0.000140, -0.015860, 0.999874)
1738018112274;0.031913;-0.958083;VALID;(0.000557, -0.016721, 0.999860)
1738018112279;-0.014142;-0.939140;VALID;(-0.000247, -0.016390, 0.999866)
1738018112284;-0.013972;-0.952592;VALID;(-0.000244, -0.016625, 0.999862)
1738018112289;-0.070793;-0.996273;VALID;(-0.001235, -0.017387, 0.999848)
1738018112294;-0.072462;-0.964019;VALID;(-0.001265, -0.016825, 0.999858)
1738018112299;-0.072275;-0.946329;VALID;(-0.001261, -0.016516, 0.999863)
1738018112304;-0.055841;-0.903880;VALID;(-0.000974, -0.015775, 0.999875)
1738018112309;-0.062067;-0.851054;VALID;(-0.001083, -0.014853, 0.999889)
1738018112314;-0.102792;-0.855540;VALID;(-0.001794, -0.014931, 0.999887)
1738018112319;-0.102416;-0.761210;VALID;(-0.001787, -0.013285, 0.999910)
1738018112324;-0.110961;-0.795692;VALID;(-0.001936, -0.013887, 0.999902)
1738018112329;-0.111422;-0.718809;VALID;(-0.001945, -0.012545, 0.999919)
1738018112334;-0.111573;-0.691411;VALID;(-0.001947, -0.012067, 0.999925)
1738018112339;-0.115977;-0.665671;VALID;(-0.002024, -0.011618, 0.999930)
1738018112344;-0.114424;-0.637501;VALID;(-0.001997, -0.011126, 0.999936)
1738018112349;-0.152678;-0.657619;VALID;(-0.002665, -0.011477, 0.999931)
1738018112354;-0.121687;-0.542559;VALID;(-0.002124, -0.009469, 0.999953)
1738018112359;-0.097539;-0.498635;VALID;(-0.001702, -0.008703, 0.999961)
1738018112364;-0.104442;-0.462900;VALID;(-0.001823, -0.008079, 0.999966)
1738018112369;-0.104771;-0.528975;VALID;(-0.001829, -0.009232, 0.999956)
1738018112374;-0.099030;-0.471738;VALID;(-0.001728, -0.008233, 0.999965)
1738018112379;-0.081148;-0.427319;VALID;(-0.001416, -0.007458, 0.999971)
1738018112384;-0.084948;-0.442382;VALID;(-0.001483, -0.007721, 0.999969)
1738018112389;-0.100875;-0.456771;VALID;(-0.001761, -0.007972, 0.999967)
1738018112394;-0.114824;-0.506249;VALID;(-0.002004, -0.008836, 0.999959)
1738018112399;-0.112425;-0.497133;VALID;(-0.001962, -0.008676, 0.999960)
1738018112404;-0.095248;-0.519631;VALID;(-0.001662, -0.009069, 0.999958)
1738018112409;-0.096250;-0.551083;VALID;(-0.001680, -0.009618, 0.999952)
1738018112414;-0.077736;-0.612433;VALID;(-0.001357, -0.010689, 0.999942)
1738018112419;-0.117532;-0.699918;VALID;(-0.002051, -0.012216, 0.999923)
1738018112424;-0.160463;-0.771170;VALID;(-0.002800, -0.013459, 0.999906)
1738018112429;-0.121315;-0.842839;VALID;(-0.002117, -0.014710, 0.999890)
1738018112434;-0.162307;-0.867887;VALID;(-0.002832, -0.015147, 0.999881)
1738018112439;-0.189081;-0.874259;VALID;(-0.003300, -0.015258, 0.999878)
1738018112444;-0.135792;-0.904925;VALID;(-0.002370, -0.015793, 0.999872)
1738018112449;-0.089832;-0.930138;VALID;(-0.001568, -0.016233, 0.999867)
1738018112454;-0.062200;-0.933215;VALID;(-0.001085, -0.016287, 0.999867)
1738018112459;-0.055269;-0.912069;VALID;(-0.000965, -0.015918, 0.999873)
1738018112464;-0.046722;-0.838652;VALID;(-0.000815, -0.014637, 0.999893)
1738018112469;-0.031374;-0.847237;VALID;(-0.000548, -0.014787, 0.999891)
1738018112474;0.017852;-0.905047;VALID;(0.000312, -0.015795, 0.999875)
1738018112479;-0.021872;-0.803593;VALID;(-0.000382, -0.014025, 0.999902)
1738018112484;0.052187;-0.840369;VALID;(0.000911, -0.014667, 0.999892)
1738018112489;0.043119;-0.807610;VALID;(0.000752, -0.014095, 0.999900)
1738018112494;0.075725;-0.736347;VALID;(0.001322, -0.012851, 0.999917)
1738018112499;0.063558;-0.787875;VALID;(0.001109, -0.013751, 0.999905)
1738018112504;0.051450;-0.647882;VALID;(0.000898, -0.011307, 0.999936)
1738018112509;0.064761;-0.577349;VALID;(0.001130, -0.010076, 0.999949)
1738018112514;0.052354;-0.470702;VALID;(0.000914, -0.008215, 0.999966)
1738018112519;0.046864;-0.291123;VALID;(0.000818, -0.005081, 0.999987)
1738018112524;0.047650;-0.226110;VALID;(0.000832, -0.003946, 0.999992)
1738018112529;0.058921;-0.174459;VALID;(0.001028, -0.003045, 0.999995)
